matchId,squadId,oppSquadId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goalAssists,goalAttempts,goalMisses,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,missedGoalTurnover,missedShotConversion,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,rebounds,secondPhaseReceive,timeInPossession,tossUpWin,turnoverHeld,turnoverToGoalPerc,unforcedTurnovers,offensiveRebounds,possessions,pacePer60,offensiveRating,defensiveRating,netRating
119950101,9490,9491,1,0,0,0,0,0,13,67,7,3,3,5,17,30,4,75,7,15,19,2,17,10,3,4,1,1,1,50,1,0,8,3,17,8,1,12,60,0,0,67,3,1.0,26.0,104.0,65.38461538461539,54.54545454545454,10.839160839160847
119950101,9490,9491,2,4,1,0,0,1,12,62,5,2,2,3,14,23,4,50,7,13,16,1,15,8,2,5,0,2,0,100,1,0,6,5,15,7,1,11,55,0,0,100,7,1.0,22.0,88.0,68.18181818181817,50.0,18.181818181818173
119950101,9490,9491,3,0,0,0,0,0,12,85,7,2,2,3,18,23,5,80,3,16,19,2,17,11,4,2,0,3,1,0,5,0,12,4,17,4,0,12,62,0,0,67,0,0.0,23.0,92.0,73.91304347826086,52.63157894736842,21.281464530892443
119950101,9490,9491,4,1,2,0,0,1,16,75,16,1,1,2,14,17,3,33,9,13,16,1,15,12,1,2,3,2,0,100,3,0,19,1,15,9,1,14,49,0,0,40,5,1.0,24.0,96.0,62.5,64.0,-1.5
119950101,9491,9490,1,0,2,0,0,4,9,40,8,4,4,1,11,17,5,80,10,11,12,0,12,6,4,2,1,1,0,0,5,0,13,8,12,10,0,9,40,0,1,67,6,0.0,22.0,88.0,54.54545454545454,65.38461538461539,-10.839160839160847
119950101,9491,9490,2,2,1,0,0,1,10,42,10,0,0,3,11,12,0,0,8,9,12,2,10,5,0,5,2,0,1,50,2,0,12,2,10,9,1,8,45,0,0,71,5,1.0,20.0,80.0,50.0,68.18181818181817,-18.181818181818173
119950101,9491,9490,3,1,0,0,0,0,10,64,13,4,4,7,11,12,4,25,8,9,12,2,10,9,1,0,3,0,0,50,5,1,18,6,10,8,1,10,38,0,0,0,3,1.0,19.0,76.0,52.63157894736842,73.91304347826086,-21.281464530892443
119950101,9491,9490,4,1,2,0,0,0,14,67,8,1,1,2,17,21,4,75,7,15,18,2,16,10,3,3,2,3,1,50,0,0,8,3,16,8,1,14,51,0,0,60,5,1.0,25.0,100.0,64.0,62.5,1.5
