matchId,squadId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,rebounds,tossUpWin,turnovers,possessions,pacePer60,offensiveRating,defensiveRating,netRating
80050404,801,1,0,3,0,0,0,12,8,1,4,14,0,6,15,4,11,0,0,4,1,2,12,1,2,0,4,18,70.89715536105032,61.111111111111114,70.0,-8.888888888888886
80050404,801,2,0,4,0,0,0,11,13,3,4,18,0,10,20,6,14,0,0,3,0,1,16,2,3,0,5,25,99.11894273127754,56.00000000000001,42.857142857142854,13.142857142857153
80050404,801,3,1,0,0,0,1,11,9,0,7,9,0,4,14,6,8,3,0,4,0,1,13,3,0,0,4,18,71.52317880794702,44.44444444444444,66.66666666666666,-22.222222222222214
80050404,801,4,1,0,0,0,0,7,21,1,2,10,0,4,13,4,9,4,0,4,3,0,25,4,4,0,9,19,73.6275565123789,47.368421052631575,33.33333333333333,14.035087719298247
80050404,801,5,0,0,0,0,0,5,11,0,2,6,0,3,5,0,5,0,0,2,0,1,13,2,0,0,4,9,75.87822014051523,55.55555555555556,42.857142857142854,12.698412698412703
80050404,801,6,0,1,0,0,0,4,6,1,5,7,0,5,7,1,6,1,0,0,0,1,6,3,1,0,3,10,84.70588235294117,60.0,33.33333333333333,26.66666666666667
80050404,802,1,2,2,0,0,0,13,8,2,3,14,0,7,15,1,14,0,0,2,0,0,10,4,2,0,5,20,78.7746170678337,70.0,61.111111111111114,8.888888888888886
80050404,802,2,2,1,0,0,0,11,8,2,4,11,0,6,13,4,9,0,0,1,0,0,9,5,2,0,8,21,83.25991189427313,42.857142857142854,56.00000000000001,-13.142857142857153
80050404,802,3,1,1,0,0,0,8,10,2,6,10,0,9,12,0,12,0,0,0,0,1,10,5,2,0,6,18,71.52317880794702,66.66666666666666,44.44444444444444,22.222222222222214
80050404,802,4,1,1,0,0,0,5,8,1,3,6,0,4,12,5,7,1,0,2,0,2,10,1,1,0,9,21,81.37782561894511,33.33333333333333,47.368421052631575,-14.035087719298247
80050404,802,5,1,0,0,0,0,3,2,0,2,3,0,3,4,1,3,2,0,1,0,0,3,0,0,0,3,7,59.016393442622956,42.857142857142854,55.55555555555556,-12.698412698412703
80050404,802,6,0,1,0,0,0,4,5,1,2,2,0,1,6,3,3,0,0,0,2,1,5,1,3,0,5,9,76.23529411764706,33.33333333333333,60.0,-26.66666666666667
