price,surname,firstName,team,position,playerId
160000,STERLING,Shamera,Thunderbirds,GK,80830
145000,FOWLER,Jhaniele,Fever,GS,80826
105000,BRUCE,Courtney,Fever,GK/GD,80343
95000,WARD,Jodi-Ann,Magpies,GD/WD,1011747
95000,WESTON,Jo,Vixens,GD/WD,80577
65000,DWAN,Tippah,Thunderbirds,GA,1007306
120000,WATSON,Liz,Vixens,C/WA,994224
50000,WILLIAMS,Tayla,Thunderbirds,C/WA,1020223
35000,FRASER,Tayla,Swifts,WD/C,1009742
115000,KUMWENDA,Mwai,Vixens,GA/GS,80540
