matchId,squadId,playerId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,minutesPlayed,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,quartersPlayed,rebounds,tossUpWin,turnovers
95630604,804,994224,1,0,0,0,0,0,0,2,0,0,2,1,2,0,0,0,1,15,0,0,0,0,2,0,1,0,0,0
95630604,804,994224,2,0,0,0,0,0,0,2,0,2,4,1,3,0,0,0,1,15,0,0,0,0,2,1,1,0,0,0
95630604,804,994224,3,1,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,15,0,1,0,0,4,0,1,0,0,1
95630604,804,994224,4,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,15,0,1,0,0,4,0,1,0,0,0
95630604,804,994226,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630604,804,994226,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630604,804,994226,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630604,804,994226,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630604,810,80003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630604,810,80003,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630604,810,80003,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630604,810,80003,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630604,810,80009,1,0,0,0,0,0,2,1,0,0,2,0,0,5,0,5,0,15,0,0,0,0,1,0,1,0,0,0
95630604,810,80009,2,1,0,0,0,0,6,3,0,0,2,0,1,3,0,3,0,15,0,0,0,0,3,1,1,0,0,1
95630604,810,80009,3,0,0,0,0,0,8,0,0,0,7,0,3,4,0,4,0,15,0,0,0,0,0,0,1,0,0,0
95630604,810,80009,4,0,0,0,0,0,6,1,0,0,4,0,2,8,1,7,0,15,0,0,0,0,1,0,1,0,0,1
95630604,810,80113,1,0,0,0,0,0,0,4,0,0,1,0,1,7,0,7,0,15,0,0,0,0,4,0,1,0,0,4
95630604,810,80113,2,1,1,0,0,0,0,0,0,0,1,0,1,10,3,7,0,15,0,0,1,0,0,0,1,1,0,4
95630604,810,80113,3,1,0,0,0,0,0,1,0,0,0,0,0,14,2,12,0,15,0,0,1,0,1,0,1,1,0,3
95630604,810,80113,4,0,0,0,0,0,0,0,0,0,2,0,2,10,2,8,0,15,0,0,2,0,0,0,1,2,0,0
95630604,810,80133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630604,810,80133,2,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,9,0,0,0,0,3,0,1,0,0,0
95630604,810,80133,3,0,0,0,0,0,0,8,1,0,0,2,0,0,0,0,1,15,0,0,0,0,8,1,1,1,0,0
95630604,810,80133,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,1,0,0,0
95630604,810,80152,1,1,3,0,0,0,0,3,0,1,3,0,1,0,0,0,0,15,0,2,0,0,5,0,1,0,0,4
95630604,810,80152,2,0,0,0,0,0,0,4,0,0,1,2,0,0,0,0,2,15,0,1,0,0,5,0,1,0,0,1
95630604,810,80152,3,0,0,0,0,0,0,3,0,0,3,0,2,0,0,0,0,15,0,0,0,0,3,0,1,0,0,0
95630604,810,80152,4,0,0,0,0,0,0,5,0,0,6,0,4,0,0,0,0,15,0,0,0,0,5,0,1,0,0,1
95630604,810,80299,1,0,0,0,0,1,1,1,0,4,0,1,0,0,0,0,1,15,0,0,0,0,1,0,1,0,0,1
95630604,810,80299,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,1,0,0,0
95630604,810,80299,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,15,0,0,0,1,1,0,1,0,0,0
95630604,810,80299,4,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,15,0,0,0,1,6,0,1,0,0,0
95630604,810,80343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630604,810,80343,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630604,810,80343,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630604,810,80343,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630604,810,80393,1,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,1,15,0,0,0,0,1,0,1,1,0,0
95630604,810,80393,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,5,0,0,0,0,2,0,1,0,0,0
95630604,810,80393,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630604,810,80393,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0
