matchId,squadId,oppSquadId,playerId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,minutesPlayed,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,quartersPlayed,rebounds,tossUpWin,turnovers
95631104,802,803,80565,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95631104,802,803,80699,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95631104,802,803,80699,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0
95631104,802,803,80699,3,0,0,0,0,0,1,1,0,0,8,0,2,0,0,0,0,14,0,0,0,0,1,1,1,0,0,0
95631104,802,803,80699,4,0,1,0,0,0,3,1,0,0,4,0,2,0,0,0,0,15,0,0,0,0,1,0,1,0,0,1
95631104,802,803,994106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95631104,802,803,994106,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95631104,802,803,994106,3,0,0,0,0,0,5,4,0,1,0,0,0,0,0,0,0,14,0,0,0,1,4,0,1,0,0,1
95631104,802,803,994106,4,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,15,0,0,0,0,4,0,1,0,0,1
95631104,803,802,80019,1,0,0,0,0,0,4,0,0,1,1,0,1,7,0,7,0,15,0,0,1,0,0,0,1,1,0,0
95631104,803,802,80019,2,1,0,0,0,1,5,0,0,0,1,0,0,7,1,6,0,15,0,1,0,0,1,1,1,0,0,2
95631104,803,802,80019,3,1,0,0,0,0,6,0,0,0,1,0,0,2,0,2,0,14,0,0,0,0,0,0,1,0,0,1
95631104,803,802,80019,4,0,0,0,0,0,4,0,0,1,0,0,0,6,3,3,0,15,0,0,2,0,0,0,1,2,0,1
95631104,803,802,80094,1,0,0,0,0,0,8,0,0,0,11,0,4,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0
95631104,803,802,80094,2,1,0,0,0,0,7,0,0,0,11,0,8,0,0,0,0,15,0,2,0,0,2,1,1,0,0,1
95631104,803,802,80094,3,0,0,0,0,0,5,0,0,0,4,1,3,0,0,0,1,14,0,0,0,0,0,0,1,0,0,0
95631104,803,802,80094,4,0,0,0,0,0,4,3,0,0,5,0,2,0,0,0,0,15,0,0,0,0,3,0,1,0,0,1
95631104,803,802,80098,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,3,0,0,5,0,1,0,0,0
95631104,803,802,80098,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,15,0,0,0,0,1,0,1,0,0,0
95631104,803,802,80098,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95631104,803,802,80098,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95631104,803,802,80099,1,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,15,0,0,0,0,4,0,1,0,0,0
95631104,803,802,80099,2,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,15,0,0,0,0,5,1,1,0,0,0
95631104,803,802,80099,3,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,14,0,0,0,0,5,0,1,1,0,0
95631104,803,802,80099,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,15,0,1,0,0,3,0,1,0,0,0
