matchId,squadId,oppSquadId,attempt1,attempt2,attempt_from_zone1,attempt_from_zone2,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,deflections,disposals,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goal1,goal2,goalAssists,goalAttempts,goalMisses,goal_from_zone1,goal_from_zone2,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,missedGoalTurnover,missedShotConversion,netPoints,obstructionPenalties,offsides,passes,penalties,pickups,points,possessionChanges,possessions,rebounds,timeInPossession,tossUpWin,turnoverToGoalPerc,offensiveRebounds,pacePer60,offensiveRating,defensiveRating,netRating
111081202,804,8119,59.0,5.0,59.0,5.0,3.0,4.0,0.0,0.0,1.0,50.0,65.0,30.0,7.0,7.0,10.0,17.0,166.0,58.0,87.0,16.0,56.0,24.0,53.0,4.0,52.0,64.0,7.0,53.0,4.0,57.0,36.0,9.0,12.0,6.0,7.0,0.0,0.0,340.0,10.0,1.0,87.0,40.0,24.0,61.0,30.0,95.0,2.0,57.0,0.0,36.0,0.0,95.0,60.0,56.81818181818182,3.18181818181818
111081202,8119,804,49.0,7.0,49.0,7.0,7.0,5.0,0.0,0.0,1.0,52.0,61.0,43.0,2.0,2.0,20.0,22.0,133.0,52.0,67.0,13.0,54.0,30.0,47.0,3.0,47.0,56.0,6.0,47.0,3.0,50.0,34.0,7.0,9.0,7.0,6.0,0.0,33.0,217.5,11.0,2.0,67.0,54.0,6.0,53.0,33.0,88.0,8.0,43.0,0.0,30.0,2.0,88.0,56.81818181818182,60.0,-3.18181818181818
