matchId,squadId,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,rebounds,tossUpWin,turnovers,possessions,pacePer60,offensiveRating,defensiveRating,netRating
80180202,808,2,8,0,0,0,38,44,2,14,44,7,22,47,11,36,4,0,18,4,1,62,7,6,0,15,58,57.28395061728395,62.06896551724138,70.83333333333334,-8.764367816091962
80180202,809,0,5,0,0,1,42,36,2,13,45,13,23,63,12,51,7,0,15,6,6,51,17,8,0,15,72,71.11111111111111,70.83333333333334,62.06896551724138,8.764367816091962
