matchId,squadId,oppSquadId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,rebounds,tossUpWin,turnovers,possessions,pacePer60,offensiveRating,defensiveRating,netRating
80180404,802,809,1,0,0,0,0,0,14,11,0,6,18,5,11,18,3,15,3,0,3,0,1,14,4,0,0,2,20,79.47019867549669,75.0,76.47058823529412,-1.470588235294116
80180404,802,809,2,0,1,0,0,0,13,14,1,0,11,2,6,17,6,11,1,0,2,1,0,16,5,2,0,3,19,74.67248908296943,57.89473684210527,72.22222222222221,-14.327485380116947
80180404,802,809,3,0,1,0,0,0,12,9,0,5,13,3,8,14,2,12,2,0,8,0,1,17,3,0,0,3,17,66.23376623376623,70.58823529411765,82.35294117647058,-11.764705882352928
80180404,802,809,4,2,2,0,0,0,9,9,0,1,7,2,4,10,1,9,2,0,5,0,0,14,4,0,0,7,17,67.62430939226519,52.94117647058824,43.75,9.191176470588239
80180404,802,809,5,1,0,0,0,0,7,3,0,0,5,1,4,6,0,6,1,0,4,0,1,7,0,0,0,1,7,58.468677494199525,85.71428571428571,100.0,-14.285714285714292
80180404,802,809,6,0,1,0,0,0,6,7,1,1,5,3,1,5,2,3,1,0,0,0,1,7,2,1,0,4,9,76.41509433962264,33.33333333333333,88.88888888888889,-55.55555555555556
80180404,809,802,1,0,3,0,0,0,14,8,1,4,13,4,9,13,0,13,2,0,2,0,0,10,3,1,0,4,17,67.54966887417218,76.47058823529412,75.0,1.470588235294116
80180404,809,802,2,1,0,0,0,0,12,12,4,5,14,4,9,15,2,13,0,0,4,0,1,16,0,4,0,3,18,70.74235807860262,72.22222222222221,57.89473684210527,14.327485380116947
80180404,809,802,3,0,1,0,0,0,13,9,1,4,12,3,8,14,0,14,1,0,2,0,0,11,1,1,0,3,17,66.23376623376623,82.35294117647058,70.58823529411765,11.764705882352928
80180404,809,802,4,2,4,0,0,0,7,9,0,4,8,2,5,8,1,7,2,0,9,1,0,18,2,1,0,9,16,63.646408839779006,43.75,52.94117647058824,-9.191176470588239
80180404,809,802,5,0,0,0,0,0,7,3,0,1,8,1,7,8,0,8,1,0,2,0,0,5,0,0,0,0,8,66.8213457076566,100.0,85.71428571428571,14.285714285714292
80180404,809,802,6,0,0,0,0,0,5,3,1,1,8,1,8,9,1,8,0,0,3,0,0,6,1,1,0,0,9,76.41509433962264,88.88888888888889,33.33333333333333,55.55555555555556
