matchId,squadId,oppSquadId,playerId,attempt1,attempt2,attempt_from_zone1,attempt_from_zone2,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,deflections,disposals,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goal1,goal2,goalAssists,goalAttempts,goalMisses,goal_from_zone1,goal_from_zone2,goals,interceptPassThrown,intercepts,minutesPlayed,missedGoalTurnover,netPoints,obstructionPenalties,offsides,passes,penalties,pickups,points,possessionChanges,possessions,quartersPlayed,rebounds,tossUpWin,reboundsPer60,netPointsPer60,penaltiesPer60,generalPlayTurnoversPer60,deflectionWithNoGainPer60,goal_from_zone2Per60,goal_from_zone1Per60,pointsPer60,possessionsPer60,goalMissesPer60,goalAssistsPer60,disposalsPer60,attempt_from_zone2Per60,centrePassReceivesPer60,obstructionPenaltiesPer60,attempt_from_zone1Per60,goalsPer60,offsidesPer60,goal2Per60,goal1Per60,missedGoalTurnoverPer60,deflectionPossessionGainPer60,contactPenaltiesPer60,gainToGoalPercPer60,centrePassToGoalPercPer60,interceptPassThrownPer60,gainPer60,blockedPer60,passesPer60,deflectionWithGainPer60,tossUpWinPer60,feedsPer60,attempt2Per60,attempt1Per60,badPassesPer60,breaksPer60,blocksPer60,badHandsPer60,possessionChangesPer60,goalAttemptsPer60,deflectionsPer60,quartersPlayedPer60,minutesPlayedPer60,feedWithAttemptPer60,pickupsPer60,interceptsPer60,plusMinus,plusMinusPer60,matchType,roundNo,gameNo,compType,year,unforcedTurnovers,unforcedTurnoversPer60,secondPhaseReceive,secondPhaseReceivePer60,turnoverHeld,turnoverHeldPer60
111080104,804,8119,994224,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,17.0,0.0,8.0,1.0,1.0,1.0,2.0,50.0,37.0,49.0,1.0,0.0,9.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,60.0,0.0,24.0,0.0,0.0,49.0,8.0,0.0,0.0,9.0,18.0,4.0,0.0,0.0,0.0,24.0,8.0,9.0,1.0,0.0,0.0,0.0,18.0,0.0,28.0,50.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,3.0,1.0,0.0,49.0,1.0,0.0,49.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,0.0,2.0,4.0,60.0,37.0,0.0,0.0,11.0,11.0,regular,1,4,SSN,2020,,,,,,
111080202,804,807,994224,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,7.0,1.0,1.0,1.0,3.0,38.0,25.0,35.0,2.0,0.0,2.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44.333333333333336,0.0,72.0,0.0,0.0,35.0,7.0,0.0,0.0,2.0,9.0,3.0,0.0,0.0,0.0,97.4436090225564,9.473684210526317,2.706766917293233,1.3533834586466165,0.0,0.0,0.0,12.180451127819548,0.0,28.421052631578945,51.42857142857142,0.0,6.7669172932330826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3533834586466165,9.473684210526317,0.0,0.0,0.0,2.706766917293233,0.0,47.368421052631575,1.3533834586466165,0.0,47.368421052631575,0.0,0.0,1.3533834586466165,0.0,0.0,0.0,2.706766917293233,0.0,4.060150375939849,4.060150375939849,60.0,33.83458646616541,0.0,1.3533834586466165,19.0,25.71428571428571,regular,2,2,SSN,2020,,,,,,
111080304,804,8117,994224,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0,0.0,7.0,0.0,0.0,1.0,1.0,47.0,35.0,44.0,0.0,0.0,5.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,56.5,0.0,0.0,44.0,7.0,2.0,0.0,5.0,20.0,4.0,0.0,0.0,0.0,56.5,7.0,5.0,1.0,0.0,0.0,0.0,20.0,0.0,27.0,47.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,60.0,35.0,2.0,0.0,12.0,12.0,regular,3,4,SSN,2020,,,,,,
111080404,804,801,994224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,3.0,3.0,3.0,6.0,32.0,22.0,32.0,3.0,0.0,3.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,0.0,71.0,3.0,0.0,32.0,13.0,1.0,0.0,3.0,11.0,3.0,0.0,0.0,0.0,94.66666666666666,17.333333333333332,4.0,4.0,0.0,0.0,0.0,14.666666666666666,0.0,24.0,42.66666666666666,0.0,13.333333333333332,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.333333333333332,0.0,0.0,1.3333333333333333,4.0,0.0,42.66666666666666,4.0,0.0,42.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,4.0,60.0,29.33333333333333,1.3333333333333333,0.0,-8.0,-10.666666666666666,regular,4,4,SSN,2020,,,,,,
111080501,804,810,994224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,2.0,0.0,0.0,2.0,2.0,32.0,21.0,30.0,0.0,0.0,2.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,0.0,82.0,1.0,0.0,30.0,3.0,3.0,0.0,2.0,32.0,4.0,0.0,0.0,0.0,82.0,3.0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,21.0,32.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,60.0,21.0,3.0,0.0,9.0,9.0,regular,5,1,SSN,2020,,,,,,
111080603,804,8118,994224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,3.0,0.0,0.0,0.0,0.0,51.0,33.0,49.0,0.0,0.0,3.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,0.0,76.0,0.0,1.0,49.0,3.0,2.0,0.0,3.0,31.0,4.0,0.0,0.0,0.0,76.0,3.0,3.0,0.0,0.0,0.0,0.0,31.0,0.0,25.0,51.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,49.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,60.0,33.0,2.0,0.0,5.0,5.0,regular,6,3,SSN,2020,,,,,,
111080704,804,801,994224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,8.0,0.0,0.0,1.0,1.0,45.0,31.0,45.0,0.0,0.0,3.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,0.0,59.5,1.0,0.0,45.0,9.0,0.0,0.0,3.0,19.0,4.0,0.0,0.0,0.0,59.5,9.0,3.0,1.0,0.0,0.0,0.0,19.0,0.0,27.0,45.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,60.0,31.0,0.0,0.0,7.0,7.0,regular,7,4,SSN,2020,,,,,,
111080801,804,806,994224,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,32.0,0.0,3.0,0.0,0.0,0.0,0.0,54.0,43.0,53.0,0.0,0.0,3.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,0.0,104.5,0.0,0.0,53.0,3.0,2.0,0.0,3.0,35.0,4.0,0.0,0.0,0.0,104.5,3.0,3.0,0.0,0.0,0.0,0.0,35.0,0.0,37.0,54.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,53.0,0.0,0.0,53.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,60.0,43.0,2.0,0.0,3.0,3.0,regular,8,1,SSN,2020,,,,,,
111080901,804,8118,994224,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,30.0,0.0,3.0,0.0,0.0,0.0,0.0,54.0,39.0,48.0,0.0,0.0,3.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,0.0,88.0,1.0,0.0,48.0,4.0,2.0,0.0,3.0,38.0,4.0,0.0,0.0,0.0,88.0,4.0,3.0,0.0,0.0,0.0,0.0,38.0,0.0,32.0,54.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,48.0,0.0,0.0,48.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,60.0,39.0,2.0,0.0,20.0,20.0,regular,9,1,SSN,2020,,,,,,
111081001,804,810,994224,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,28.0,0.0,4.0,2.0,2.0,0.0,2.0,40.0,28.0,39.0,3.0,0.0,6.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,60.0,0.0,61.0,2.0,1.0,39.0,6.0,2.0,0.0,6.0,32.0,4.0,0.0,0.0,0.0,61.0,6.0,6.0,0.0,0.0,0.0,0.0,32.0,0.0,25.0,40.0,0.0,28.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,3.0,0.0,39.0,2.0,0.0,39.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,2.0,4.0,60.0,28.0,2.0,1.0,0.0,0.0,regular,10,1,SSN,2020,,,,,,
