playerId,makeMiss,makeMiss
80052,True,14
80078,True,13
80150,True,60
80293,True,4
80475,True,46
80540,True,38
80826,True,19
993463,True,24
994215,True,26
995218,True,12
999128,True,37
1000231,True,3
1001357,True,6
1001708,True,23
1001711,True,10
1001712,True,19
1001865,True,4
1001872,True,1
1001944,True,20
1006558,True,5
1007298,True,23
1007306,True,28
1009721,True,13
1010545,True,3
1013077,True,14
1013082,True,2
1013431,True,5
1013629,True,7
1014126,True,37
1015270,True,15
1015271,True,34
1019165,True,3
1019167,True,2
1019169,True,28
1021092,True,21
1021253,True,22
1022298,True,21
1025018,True,10
1025019,True,1
1029501,True,4
