playerId,matchId,squadId,oppSquadId,attempt1,attempt2,attempt_from_zone1,attempt_from_zone2,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,deflections,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goal1,goal2,goalAssists,goalAttempts,goalMisses,goal_from_zone1,goal_from_zone2,goals,interceptPassThrown,intercepts,minutesPlayed,missedGoalTurnover,netPoints,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,quartersPlayed,rebounds,secondPhaseReceive,tossUpWin,turnoverHeld,unforcedTurnovers,reboundsPer60,turnoverHeldPer60,netPointsPer60,penaltiesPer60,deflectionWithNoGainPer60,generalPlayTurnoversPer60,goal_from_zone2Per60,goal_from_zone1Per60,pointsPer60,goalMissesPer60,goalAssistsPer60,attempt_from_zone2Per60,centrePassReceivesPer60,obstructionPenaltiesPer60,attempt_from_zone1Per60,goalsPer60,offsidesPer60,goal2Per60,goal1Per60,missedGoalTurnoverPer60,deflectionPossessionGainPer60,contactPenaltiesPer60,gainToGoalPercPer60,centrePassToGoalPercPer60,interceptPassThrownPer60,gainPer60,blockedPer60,deflectionWithGainPer60,tossUpWinPer60,feedsPer60,attempt2Per60,attempt1Per60,secondPhaseReceivePer60,badPassesPer60,breaksPer60,blocksPer60,badHandsPer60,possessionChangesPer60,goalAttemptsPer60,deflectionsPer60,quartersPlayedPer60,minutesPlayedPer60,feedWithAttemptPer60,unforcedTurnoversPer60,pickupsPer60,interceptsPer60,plusMinus,plusMinusPer60,roundNo,gameNo,year
80010,120450302.2,8119.0,2269.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,8.2,1.6,1.6,3.2,4.8,0.0,0.0,4.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.6,55.63666666666667,0.0,43.6,3.2,0.0,11.4,0.4,0.0,0.6,3.8,1.0,0.2,0.0,0.2,0.4,1.0,0.2,45.19982540375382,12.428459188127455,3.4285464862505455,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.542819729375819,0.0,0.0,0.0,0.0,0.0,0.0,1.6,8.885639458751637,0.0,0.0,0.2,4.314273243125273,0.0,1.6,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.6,0.0,5.028546486250546,4.142819729375819,60.0,0.0,0.4,0.4,1.7142732431252727,-0.6,-2.199825403753819,3.0,2.2,2023.0
80078,120450302.4,806.0,3730.8,37.6,0.4,37.6,0.4,1.0,0.4,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,1.8,1.8,1.8,2.2,0.0,0.0,3.2,32.0,0.2,1.6,38.0,5.8,32.0,0.2,32.2,0.0,0.0,53.14333333333333,1.2,46.3,1.2,0.0,2.8,0.6,32.4,4.4,3.6,4.4,2.6,0.0,0.0,3.2,5.020649445709291,0.0,54.539736220135936,3.3315038646122246,2.097925013712021,3.518372073876452,0.2656826568265682,36.74433091306002,37.27569622671316,6.686406818909177,1.963607670538589,0.5313653136531364,0.0,1.4861935515767715,43.16505507514263,37.01001356988659,0.0,0.2656826568265682,36.74433091306002,1.4409579549146345,0.0,1.8453103130354531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7067044463269747,0.5313653136531364,43.16505507514263,2.8570417751707025,0.4365308804204993,0.0,0.0,1.040883238541318,4.959330028791087,43.696420388795765,2.097925013712021,4.172387103153543,60.0,2.204490909079907,3.5549029542969515,0.7430967757883857,0.0,-0.6,-0.942795970722505,3.0,2.4,2023.0
80150,120450352.75,8118.0,2633.5,27.25,6.25,27.25,6.25,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.25,0.0,0.25,5.75,7.75,0.25,0.0,4.25,25.0,3.25,5.25,33.5,5.25,25.0,3.25,28.25,0.75,0.0,60.0,3.25,25.375,0.25,0.0,1.0,0.75,31.5,7.5,4.0,1.75,5.5,0.0,0.5,3.75,1.75,0.5,25.375,1.0,0.0,4.25,3.25,25.0,31.5,5.25,5.25,6.25,0.0,0.25,27.25,28.25,0.0,3.25,25.0,3.25,0.25,0.75,0.0,0.0,0.75,0.25,0.0,0.25,0.0,7.75,6.25,27.25,5.5,0.5,0.0,0.0,0.75,7.5,33.5,0.25,4.0,60.0,5.75,3.75,0.75,0.0,0.75,0.75,3.5,2.75,2023.0
80296,120450302.2,8117.0,2267.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.6,0.0,5.0,0.0,0.0,0.4,0.4,14.6,27.4,0.2,0.0,3.6,0.0,0.0,13.4,0.0,0.0,0.0,0.0,0.0,1.4,0.2,55.266666666666666,0.0,51.0,0.8,0.2,6.0,1.0,0.0,3.6,3.8,0.0,7.8,0.0,0.0,1.2,0.0,0.0,55.059723576688974,6.390866597168511,0.4114537444933921,3.9521763011287847,0.0,0.0,0.0,0.0,14.485034356749727,0.0,0.8,0.8511484009819418,0.0,0.0,0.2,0.0,0.0,0.0,0.0,5.339718196186569,0.0,0.0,1.5447870778267254,0.26666666666666666,0.0,0.0,0.0,30.045128963917005,0.0,0.0,8.506625864523432,0.5333333333333333,0.0,0.0,0.0,3.9521763011287847,0.0,0.4114537444933921,4.125204290950668,60.0,15.963154767909788,1.364634406071,1.0229074889867842,0.26666666666666666,0.8,-0.30535696270639273,3.0,2.2,2023.0
80298,120450451.5,804.0,4459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,1.5,2023.0
80299,120450302.2,8119.0,2269.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,8.0,0.0,9.2,0.2,0.2,1.8,2.0,1.8,2.0,0.8,0.0,1.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,57.54333333333334,0.0,25.9,1.4,0.0,10.6,1.2,0.0,1.8,4.0,0.0,5.4,0.0,0.0,0.6,0.0,0.0,27.548508022077566,11.081509451141091,1.8665582854678178,1.8312668845187396,0.0,0.0,0.0,0.0,1.0312668845187396,0.0,8.264004362890363,1.5135993144988649,0.0,0.0,0.0,0.0,0.0,0.0,0.21891152325934934,9.567910136642226,0.0,0.0,0.8262035933794991,0.866255418879107,0.0,0.21891152325934934,0.0,2.107346019087617,0.0,0.0,5.656842467712982,0.2,0.0,0.0,0.0,1.8312668845187396,0.0,2.0854698087271673,4.1804604665553935,60.0,1.8836740712777378,0.6025316455696202,1.2476467622084688,0.4236719478098788,-3.4,-3.9005086326400353,3.0,2.2,2023.0
80343,120450303.0,810.0,3730.8,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.6,0.0,12.0,2.2,2.2,3.0,5.2,0.0,0.0,7.2,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.0,57.31333333333333,0.0,57.3,3.8,0.0,15.8,1.6,0.0,2.2,4.0,2.4,0.8,0.0,0.0,0.6,2.573015695452379,0.0,60.0683770854675,16.502297460488315,3.173015695452379,2.3730156954523793,0.0,0.0,0.0,0.0,0.0,0.0,0.6505605141209745,3.9224551813314052,0.0,0.0,0.0,0.0,0.0,0.0,2.322455181331405,12.579842279156908,0.0,0.0,1.701121028241949,7.559473336052152,0.0,2.322455181331405,0.0,0.0,0.0,0.0,0.9011210282419491,0.45056051412097453,0.0,0.22133415308945587,0.0,2.3730156954523793,0.0,5.495470876783784,4.2022420564838985,60.0,0.0,0.6718946672104303,1.701121028241949,2.0426683061789115,6.4,6.797456700757598,3.0,3.0,2023.0
80439,120450302.4,806.0,3730.8,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,9.8,0.0,6.2,0.4,0.4,0.8,1.2,21.2,29.2,1.2,0.0,3.4,0.0,0.0,17.6,0.0,0.0,0.0,0.0,0.0,1.2,0.8,55.22666666666667,0.0,78.6,1.8,0.4,8.0,1.4,0.0,3.4,3.6,0.0,13.2,0.0,0.0,1.2,0.0,0.0,85.4839948510373,8.725706785843398,0.9178603804115557,3.810211692875602,0.0,0.0,0.0,0.0,19.444370941057535,0.0,11.454024357333843,1.9527706577361887,0.0,0.0,0.4,0.0,0.0,0.0,0.42401991288114493,6.77293612810721,0.0,0.0,1.3341656997914506,1.2811249665845625,0.0,0.42401991288114493,0.0,32.112294001629635,0.0,0.0,14.359938391600144,0.22401991288114495,0.0,0.0,0.23491027732463293,3.810211692875602,0.0,1.3418802932927008,3.9680613241122016,60.0,23.39612694578985,1.3400551567903405,1.5051448794657074,0.8571050537034175,-3.4,-4.075475813480717,3.0,2.4,2023.0
80452,120450352.0,8117.0,804.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,1.25,0.0,2.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,13.183333333333334,0.0,-4.625,0.5,0.0,2.5,0.0,0.0,1.0,1.25,0.0,1.25,0.0,0.0,0.5,0.0,0.0,0.15835056082355217,18.552839058036422,4.181184668989546,3.1142061281337043,0.0,0.0,0.0,0.0,0.0,0.0,7.295390797123251,5.295390797123251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.25744826091317,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22841225626741,0.0,1.1142061281337048,0.0,0.6666666666666666,3.1142061281337043,0.0,4.181184668989546,7.742930258590289,60.0,0.0,1.7808727948003715,0.0,0.0,-5.666666666666667,-16.190469720057326,3.5,2.0,2023.0
80470,120450302.8,8118.0,3730.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,4.2,0.0,10.4,0.2,0.2,1.8,2.0,0.2,0.8,2.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,1.0,58.45666666666666,0.0,41.6,2.2,0.0,12.6,1.6,0.0,0.6,4.0,0.8,6.6,0.0,0.0,0.2,0.8,0.0,43.07593241950909,12.865667835511635,1.8590372967803634,0.6,0.0,0.0,0.0,0.0,0.2,0.0,4.229518648390181,2.2590372967803636,0.0,0.0,0.0,0.0,0.0,0.0,0.2,10.606630538731272,0.0,0.0,0.4,2.0590372967803634,0.0,0.2,0.0,0.8,0.0,0.0,6.6885559451705445,0.0,0.2,0.2,0.0,0.6,0.0,2.0590372967803634,4.118074593560727,60.0,0.2,0.2,1.6590372967803635,1.0590372967803634,-1.4,-1.3704813516098182,3.0,2.8,2023.0
