playerId,makeMiss,makeMiss
80052,True,29
80078,True,82
80113,True,16
80150,True,96
80293,True,18
80475,True,62
80540,True,127
80826,True,163
993463,True,45
994215,True,32
995218,True,18
999128,True,58
1000231,True,3
1001357,True,88
1001708,True,29
1001711,True,26
1001712,True,22
1001717,True,1
1001865,True,52
1001872,True,1
1001944,True,46
1006558,True,12
1007298,True,25
1007306,True,40
1009721,True,14
1010545,True,71
1013077,True,17
1013082,True,2
1013431,True,5
1013629,True,8
1014126,True,41
1014128,True,18
1015270,True,15
1015271,True,41
1019165,True,4
1019167,True,4
1019169,True,49
1021092,True,24
1021253,True,33
1022294,True,1
1022298,True,25
1025018,True,19
1025019,True,3
1029501,True,5
