matchId,squadId,oppSquadId,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,intercepts,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,rebounds,timeInPossession,tossUpWin,turnovers,possessions,pacePer60,offensiveRating,defensiveRating,netRating
95630601,805,809,3,9,0,0,2,42,49,3,13,53,9,26,51,6,45,0,0,0,6,0,7,0,1,56,5,3,50,0,33,84,80.44692737430168,53.57142857142857,55.55555555555556,-1.9841269841269877
95630601,809,805,4,9,0,0,2,36,47,2,18,55,3,26,55,10,45,0,0,0,1,0,12,1,4,63,16,3,50,0,27,81,77.57382282521948,55.55555555555556,53.57142857142857,1.9841269841269877
