attempt1,attempt2,goal1,goal2,goalMisses,goalAssists,feeds,feedWithAttempt,centrePassReceives,gain,intercepts,deflections,deflectionWithGain,deflectionWithNoGain,rebounds,pickups,contactPenalties,obstructionPenalties,generalPlayTurnovers,interceptPassThrown,badHands,badPasses,offsides,minutesPlayed,roundNo,matchId,squadId,oppSquadId,fantasyScore
0.0,0.0,0.0,0.0,0.0,1.2523227821271201,1.9754788282174738,1.3533539118941302,4.474889613877861,2.1558471419116896,1.5601694487143403,3.7884047514063144,0.4746486778079893,3.0453216374269005,0.0,1.5301433971794083,8.787651192789099,0.7943586278667008,1.2574864620167752,0.2968532442216653,0.0,0.09933810796623566,0.2436446917845855,52.283295124263226,1.0,116650102.0,8118.0,806.0,108.05195287426966
0.0,0.0,0.0,0.0,0.0,1.0834528443624938,1.912991190350628,1.2328001523374275,3.7987408447068693,2.311352090660414,1.5596846846846846,4.039660914320315,0.46316964285714285,3.1096010885437404,0.0,1.5619579634731149,8.761241838117531,0.8082347588717016,1.1719745222929936,0.26122291021671823,0.0,0.0340632603406326,0.21329365079365079,52.08732502776528,2.0,116650204.0,8118.0,801.0,108.53852678244452
0.0,0.0,0.0,0.0,0.0,0.9738211346006198,1.7195110238326383,1.0919288043274575,3.978130653847705,2.100957354221062,1.1469508248603397,3.750083463594056,0.39427388133609437,2.755545733023581,0.0,1.4509162225639924,9.029366432666817,0.6941360341112986,1.0037653670359084,0.18054807262814226,0.0,0.0355826831366202,0.21884935810088116,52.22898729994696,3.0,116650301.0,8118.0,804.0,103.1770839380541
0.0,0.0,0.0,0.0,0.0,0.9559883104034476,1.6094060191032298,1.0542636078822765,3.907414519231064,1.6052703095609657,1.019598788974031,3.584238570924903,0.2848503937007874,2.7465400026733735,0.0,1.3443810436916648,7.854742837996313,0.682635046865742,0.9072719827800864,0.16533769127915615,0.0,0.021149392525029394,0.1616551286793849,52.51043570984411,4.0,116650402.0,8118.0,807.0,98.49425241589078
0.0,0.0,0.0,0.0,0.0,0.9617416081701068,1.821520095654411,1.0910103724300777,3.894507077701535,2.32053209404073,1.487567667601788,3.4362791936361634,0.31856572185385046,2.4757607978983773,0.0,1.4768615748389893,7.669158897714591,0.46219411771517077,0.9470016918606048,0.16221225993284338,0.0,0.019751231458027613,0.11329652109098101,52.19662636440065,5.0,116650502.0,8118.0,8119.0,105.22466863872451
0.0,0.0,0.0,0.0,0.0,0.8771690508547583,1.6815427091523323,1.0212437043090088,4.267176718713384,1.399560515152673,0.939590109543442,2.70356303712461,0.17765713573189332,1.9712228930129172,0.0,1.1813286787263302,7.981974525028498,0.5636730433854742,0.8771184653206873,0.1214957888826502,0.0,0.013589715655300143,0.09665036732572697,52.198078454467584,6.0,116650604.0,8118.0,810.0,91.59031684694011
0.0,0.0,0.0,0.0,0.0,0.7853507503533237,1.5085855172359641,0.9027844613416285,3.810289772289589,1.7357341134144448,0.9665442538998011,3.094663061803346,0.24439207471414856,2.240349305692892,0.0,1.1481436539075176,9.26655823367248,0.6050915441076156,0.7833681370508601,0.15221714135388376,0.0,0.01051862349971212,0.16582038262296767,52.47812801509823,7.0,116650703.0,8118.0,8117.0,94.15938481229934
0.0,0.0,0.0,0.0,0.0,0.7816205733013667,1.446122355220468,0.8936034877072613,3.964394083611674,1.7119881720915535,1.0899653979238755,3.451192178041333,0.22409152086137282,2.6006069094304385,0.0,1.0746474028207775,8.278957768092516,0.4536624742858631,0.7521717547778606,0.0889170483008018,0.0,0.008591215920049092,0.08743692916906178,52.483524597686504,8.0,116650804.0,8118.0,806.0,97.41588839107867
0.0,0.0,0.0,0.0,0.0,0.6992001613471018,1.3742818650777153,0.8112695892007258,3.6862596264712746,1.6889477167438782,0.8417832072994759,3.3588294829605423,0.23233757046030265,2.354520914865787,0.0,1.0918391461096557,8.678677181110045,0.47961195050957844,0.6709185175318734,0.09231771243683884,0.0,0.005181302030722074,0.11290045836703679,52.14499683993514,9.0,116650902.0,8118.0,804.0,94.23066186532323
0.0,0.0,0.0,0.0,0.0,0.7743697352683613,1.5472565041091912,0.8724336804905525,3.736575620016537,2.0635993257594656,1.2302246879749632,3.2078008063945673,0.22178000052368357,2.245415368197162,0.0,1.2115779941435816,7.773024489259886,0.3788348472302552,0.7200722269952876,0.09086501935530553,0.0,0.005246102894992292,0.08180776259951057,52.53380875093961,10.0,116651003.0,8118.0,8119.0,99.11550675058096
0.0,0.0,0.0,0.0,0.0,0.6428277009076768,1.3570923727323372,0.7824523255281751,4.259781968506561,1.2954655072382724,0.8258179311113277,2.5758846437102725,0.15422402888476797,1.8398272422398443,0.0,1.0147742279561154,8.16389279028899,0.5289958714558348,0.7534476728484972,0.10697340043134436,0.0,0.0034523643464918403,0.058222181895169825,52.49324162193174,11.0,116651103.0,8118.0,810.0,88.20072535395596
0.0,0.0,0.0,0.0,0.0,0.6395095083569426,1.3601378408813953,0.7619821588856256,3.544740335016495,1.7676504674381175,1.0632532268416173,3.4226404875395118,0.18848944591029024,2.4454587151625193,0.0,1.0792580397401699,8.321830823155935,0.4835176377661631,0.6656134984790684,0.09434964098123626,0.0,0.0016986691832136048,0.07717678100263853,52.20140029645734,12.0,116651204.0,8118.0,801.0,95.9322615551652
