matchId,squadId,playerId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,disposals,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,minutesPlayed,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,passes,penalties,pickups,possessions,quartersPlayed,rebounds,tossUpWin,turnovers
100830302,8118,80068,1,0,1,0,0,0,3,3,0,2,1,0,0,0,0,0,0,0,15,0,1,0,0,0,4,0,4,1,0,0,1
100830302,8118,80068,2,0,0,0,0,0,5,3,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,1,6,1,0,0,0
100830302,8118,80068,3,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,5,0,3,1,0,0,0
100830302,8118,80068,4,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,2,0,3,1,0,0,0
100830302,8118,80069,1,0,0,0,0,0,3,0,0,0,10,9,0,4,0,0,0,0,15,0,0,0,1,9,0,0,4,1,0,0,0
100830302,8118,80069,2,0,0,0,0,0,2,2,0,0,5,5,0,1,0,0,0,0,15,0,0,0,1,5,2,0,2,1,0,0,0
100830302,8118,80069,3,0,0,0,0,0,4,1,0,0,4,4,0,2,0,0,0,0,15,0,0,0,0,4,1,0,4,1,0,0,0
100830302,8118,80069,4,0,1,0,0,0,2,1,0,0,9,9,0,4,0,0,0,0,15,0,0,0,0,9,1,0,2,1,0,0,1
100830302,8118,80072,1,0,1,0,0,0,4,0,0,0,9,2,0,1,7,3,4,0,15,0,0,0,0,2,0,0,11,1,0,0,3
100830302,8118,80072,2,0,0,0,0,0,3,0,0,0,8,5,0,2,3,1,2,0,15,0,0,0,0,5,0,0,6,1,0,0,0
100830302,8118,80072,3,0,0,0,0,0,3,0,0,0,8,3,0,1,5,0,5,0,15,0,0,0,0,3,0,0,8,1,0,0,0
100830302,8118,80072,4,0,0,0,0,0,12,0,0,0,13,6,0,2,6,1,5,0,15,0,0,0,0,6,0,0,19,1,0,0,1
100830302,8118,80150,1,0,0,0,0,0,0,1,0,0,10,0,0,0,10,1,9,0,15,0,0,1,0,0,1,0,11,1,1,0,2
100830302,8118,80150,2,1,0,0,0,0,0,0,0,0,14,1,0,1,13,1,12,0,15,0,0,0,0,1,0,1,14,1,0,0,2
100830302,8118,80150,3,1,0,0,0,0,0,0,0,0,9,1,0,0,8,0,8,0,15,0,0,0,0,1,0,0,8,1,0,0,1
100830302,8118,80150,4,0,0,0,0,0,0,0,0,0,15,1,0,0,14,0,14,0,15,0,0,0,0,1,0,2,16,1,0,0,0
100830302,8118,80535,1,0,0,0,0,0,0,1,0,2,19,7,0,3,0,0,0,0,15,0,0,0,0,18,1,1,13,1,0,0,1
100830302,8118,80535,2,0,0,0,0,0,0,2,0,1,19,6,0,2,0,0,0,0,15,0,0,0,0,18,2,1,14,1,0,0,1
100830302,8118,80535,3,0,1,0,0,0,0,3,0,0,23,10,0,3,0,0,0,0,15,0,0,0,0,21,3,1,14,1,0,0,3
100830302,8118,80535,4,0,0,0,0,0,0,2,0,2,33,13,1,6,0,0,0,0,15,0,0,0,0,31,2,0,20,1,0,0,0
100830302,8118,80701,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,15,0,2,0,0,0,3,0,1,1,0,0,0
100830302,8118,80701,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,2,1,0,0,0
100830302,8118,80701,3,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,2,15,0,1,0,0,0,2,0,3,1,0,0,0
100830302,8118,80701,4,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,1,3,1,0,0,0
100830302,8118,991899,1,0,0,0,0,0,0,2,3,0,1,0,4,0,0,0,0,1,15,0,0,0,0,0,2,0,5,1,3,0,0
100830302,8118,991899,2,0,0,0,0,0,0,2,1,4,2,0,1,0,0,0,0,0,15,0,0,0,0,0,2,2,5,1,1,0,0
100830302,8118,991899,3,0,0,0,0,0,0,2,2,2,1,0,2,0,0,0,0,0,15,0,0,0,0,0,2,0,3,1,2,0,0
100830302,8118,991899,4,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,15,0,0,0,0,0,2,0,1,1,0,0,0
100830302,8118,996140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100830302,8118,996140,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100830302,8118,996140,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100830302,8118,996140,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100830302,8118,999823,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100830302,8118,999823,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100830302,8118,999823,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100830302,8118,999823,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
