matchId,squadId,GS,GA,WA,C,WD,GD,GK,startingTime,finishTime,teamStartScore,teamEndScore,oppStartScore,oppEndScore,duration,plusMinus,plusMinusPer60,oppSquadId
127151304,810,80826,995108,994215,1026857,998408,1014130,1014234,0,1367,0,28,0,26,1367,2,5.267008046817849,8118
127151304,810,80826,995108,994215,1026857,998408,1014130,1001920,1367,1800,28,37,26,33,433,2,16.628175519630485,8118
127151304,810,80826,995108,994215,1026857,998408,1014130,1014234,1800,2231,37,47,33,38,431,5,41.76334106728538,8118
127151304,810,80826,1028417,994215,1026857,998408,1014130,1014234,2231,2280,47,48,38,39,49,0,0.0,8118
127151304,810,80826,1028417,994215,998408,1014234,1014130,1001920,2280,3121,48,65,39,50,841,6,25.683709869203327,8118
127151304,810,80826,1028417,994215,998408,1014234,1014130,1029541,3121,3600,65,73,50,56,479,2,15.031315240083508,8118
127151304,8118,80150,1019169,995217,80701,1022764,1028096,80101,0,900,0,19,0,20,900,-1,-4.0,810
127151304,8118,80150,1019169,1034275,80701,1022764,1028096,80101,900,1439,19,26,20,29,539,-2,-13.358070500927646,810
127151304,8118,1013629,1019169,1034275,80701,1022764,1028096,80101,1439,1800,26,33,29,37,361,-1,-9.97229916897507,810
127151304,8118,80150,1019169,995217,80701,1022764,1028096,80101,1800,2172,33,38,37,46,372,-4,-38.70967741935484,810
127151304,8118,1013629,1019169,995217,80701,1022764,1028096,80101,2172,2201,38,38,46,46,29,0,0.0,810
127151304,8118,1013629,80150,995217,80701,1022764,1028096,80101,2201,2441,38,40,46,52,240,-4,-60.0,810
127151304,8118,1013629,80150,995217,1022764,80701,1028096,80101,2441,2700,40,44,52,57,259,-1,-13.8996138996139,810
127151304,8118,80150,80701,995217,1022764,1013629,1028096,80101,2700,2705,44,44,57,57,5,0,0.0,810
127151304,8118,80150,1013629,995217,1022764,80701,1028096,80101,2705,2729,44,44,57,57,24,0,0.0,810
127151304,8118,80150,1019169,995217,1022764,80701,1028096,80101,2729,3362,44,54,57,68,633,-1,-5.6872037914691935,810
127151304,8118,1013629,1019169,995217,1022764,80701,1028096,80101,3362,3600,54,56,68,73,238,-3,-45.3781512605042,810
