matchId,squadId,oppSquadId,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goalAssists,goalAttempts,goalMisses,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,missedGoalTurnover,missedShotConversion,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,rebounds,timeInPossession,tossUpWin,turnoverToGoalPerc,unforcedTurnovers,offensiveRebounds,possessions,pacePer60,offensiveRating,defensiveRating,netRating
116950401,813,833,1,2,0,0,0,49,80,24,4,4,11,56,81,11,55,13,49,58,7,51,41,6,4,4,6,4,14,12,3,36,8,51,17,2,51,0,67,10,1.0,74.0,74.0,68.91891891891892,69.44444444444444,-0.5255255255255236
116950401,833,813,3,1,0,0,0,48,73,42,1,1,11,52,76,7,43,16,44,57,7,50,37,3,10,6,4,1,29,14,0,56,9,50,17,4,49,0,100,6,2.0,72.0,72.0,69.44444444444444,68.91891891891892,0.5255255255255236
