matchId,squadId,attempt1,attempt2,attempt_from_zone1,attempt_from_zone2,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,deflections,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goal1,goal2,goalAssists,goalAttempts,goalMisses,goal_from_zone1,goal_from_zone2,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,missedGoalTurnover,missedShotConversion,netPoints,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,rebounds,timeInPossession,tossUpWin,turnoverToGoalPerc,unforcedTurnovers,offensiveRebounds,possessions,pacePer60,offensiveRating,defensiveRating,netRating
113911403,806,72.0,1.0,72.0,1.0,3.0,5.0,0.0,0.0,0.0,60.0,82.0,41.0,3.0,3.0,9.0,12.0,70.0,99.0,13.0,69.0,20.0,69.0,0.0,65.0,73.0,4.0,69.0,0.0,69.0,53.0,9.0,7.0,7.0,7.0,1.0,25.0,365.0,10.0,1.0,51.0,6.0,69.0,21.0,4.0,49.0,0.0,58.0,11.0,1.0,95.0,95.0,72.63157894736842,65.93406593406593,6.697513013302498
113911403,8117,68.0,7.0,68.0,7.0,2.0,1.0,0.0,0.0,2.0,61.0,67.0,30.0,2.0,2.0,10.0,12.0,65.0,81.0,10.0,60.0,19.0,56.0,4.0,51.0,75.0,15.0,56.0,4.0,60.0,44.0,6.0,10.0,7.0,7.0,6.0,60.0,302.5,5.0,3.0,35.0,6.0,64.0,25.0,10.0,51.0,0.0,91.0,12.0,9.0,91.0,91.0,65.93406593406593,72.63157894736842,-6.697513013302498
