price,surname,firstName,team,position,points2022,played2022,avg2022
155000,FOWLER,Jhaniele,Fever,GS,1961,13,150.8
155000,PROUD,Maddy,Swifts,C/WA,1925,13,148.1
150000,WATSON,Liz,Vixens,C/WA,1854,13,142.6
130000,STERLING,Shamera,Thunderbirds,GK,1794,13,138
130000,WILSON,Latanya,Thunderbirds,GD/WD,1475,13,113.5
125000,BRUCE,Courtney,Fever,GK/GD,1777,13,136.7
120000,BROWNE,Kelsey,Magpies,WA,1785,13,137.3
115000,HAY,Maddie,GIANTS,WA,1414,13,108.8
110000,BUETA,Gretel,Firebirds,GA/GS,1673,13,128.7
110000,KUMWENDA,Mwai,Vixens,GS,1364,13,104.9
110000,PARMENTER,Amy,GIANTS,WD,1276,12,106.3
110000,WOOD,Steph,Lightning,WA/GA,1359,12,113.3
105000,DWYER,Sophie,GIANTS,GA/GS,1378,12,114.8
105000,HADLEY,Paige,Swifts,C/WA,1156,12,96.3
105000,HARTEN,Jo,GIANTS,GA/GS,1290,13,99.2
105000,MOLONEY,Kate,Vixens,WD/C,1219,12,101.6
105000,NELSON,Shimona,Magpies,GS,1418,13,109.1
105000,PRICE,Jamie-Lee,GIANTS,WD/C,1335,12,111.3
105000,TEAGUE-NEELD,Alice,Fever,WA/GA,1304,11,118.5
100000,BRAZILL,Ash,Magpies,WD/C,1224,12,102
100000,HORJUS,Georgie,Thunderbirds,WA/GA,1147,12,95.6
100000,HOUSBY,Helen,Swifts,GA/GS,1348,13,103.7
95000,GLASGOW,Sasha,Fever,GA/GS,1315,12,109.6
95000,KOENEN,Cara,Lightning,GA/GS,1108,12,92.3
95000,SIMPSON,Gabi,Firebirds,WD,1280,13,98.5
95000,WARD,Jodi-Ann,Magpies,GD,1156,13,88.9
95000,WESTON,Jo,Vixens,GD,1347,13,103.6
90000,AUSTIN,Kiera,Vixens,GA,1219,13,93.8
90000,JOVIC,Molly,Magpies,C,1160,12,96.7
90000,KLAU,Sarah,Swifts,GK/GD,1299,13,99.9
90000,RAVAILLION,Kim,Firebirds,C,1280,13,98.5
90000,WILLIAMS,Tayla,Thunderbirds,C/WA,763,10,76.3
85000,DUNKLEY,Lara,Firebirds,WA,1295,12,107.9
85000,MANNIX,Emily,Vixens,GK,1091,13,83.9
85000,SIMMONS,Verity,Fever,C/WA,956,12,79.7
85000,TURNER,Maddy,Swifts,GD/WD,1198,13,92.2
85000,WALLAM,Donnell,Firebirds,GS,1309,13,100.7
80000,ANSTISS,Jess,Fever,WD/C,478,6,79.7
80000,BAKEWELL-DORAN,Ruby,Firebirds,GD/WD,1135,13,87.3
80000,CASSIDY,Mahalia,Lightning,WD/C,1121,13,86.2
80000,HINCHLIFFE,Tara,Lightning,GK/GD,1051,13,80.8
