matchId,squadId,oppSquadId,period,attempt_from_zone1,attempt_from_zone2,attempts1,attempts2,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,deflections,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goal1,goal2,goalAssists,goalAttempts,goalMisses,goal_from_zone1,goal_from_zone2,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,missedGoalTurnover,missedShotConversion,netPoints,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,rebounds,secondPhaseReceive,timeInPossession,tossUpWin,turnoverToGoalPerc,unforcedTurnovers,offensiveRebounds,possessions,pacePer60,offensiveRating,defensiveRating,netRating
116650104,810,8117,1,22.0,2.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,100.0,8.0,1.0,1.0,0.0,1.0,24.0,31.0,4.0,75.0,1.0,22.0,2.0,24.0,24.0,0.0,22.0,2.0,24.0,19.0,3.0,2.0,0.0,1.0,0.0,0.0,167.0,3.0,0.0,11.0,2.0,26.0,1.0,2.0,17.0,50.0,0.0,100.0,1.0,0.0,25.0,100.0,96.0,62.5,33.5
116650104,810,8117,2,19.0,2.0,19.0,2.0,2.0,1.0,0.0,0.0,0.0,16.0,76.0,16.0,0.0,0.0,3.0,3.0,19.0,27.0,4.0,50.0,4.0,18.0,1.0,17.0,21.0,2.0,18.0,1.0,19.0,13.0,2.0,4.0,0.0,2.0,0.0,100.0,130.5,3.0,1.0,19.0,2.0,20.0,4.0,4.0,13.0,49.0,0.0,133.0,4.0,2.0,23.0,92.0,82.6086956521739,56.00000000000001,26.6086956521739
116650104,810,8117,3,23.0,1.0,23.0,1.0,1.0,0.0,0.0,0.0,1.0,12.0,88.0,17.0,1.0,1.0,3.0,4.0,24.0,27.0,7.0,100.0,2.0,22.0,1.0,23.0,24.0,1.0,22.0,1.0,23.0,14.0,7.0,2.0,0.0,4.0,1.0,0.0,183.0,4.0,0.0,21.0,3.0,24.0,3.0,2.0,10.0,52.0,0.0,67.0,3.0,0.0,27.0,108.0,85.18518518518519,38.46153846153847,46.72364672364672
116650104,810,8117,4,14.0,2.0,14.0,2.0,0.0,2.0,0.0,0.0,3.0,12.0,53.0,14.0,1.0,1.0,3.0,4.0,16.0,25.0,4.0,50.0,5.0,12.0,0.0,11.0,16.0,4.0,12.0,0.0,12.0,8.0,2.0,2.0,0.0,0.0,2.0,0.0,55.0,1.0,0.0,15.0,1.0,12.0,7.0,2.0,10.0,43.0,0.0,67.0,6.0,0.0,25.0,100.0,48.0,61.53846153846154,-13.53846153846154
116650104,8117,810,1,14.0,4.0,14.0,4.0,1.0,0.0,0.0,0.0,1.0,20.0,70.0,5.0,0.0,0.0,0.0,0.0,17.0,26.0,0.0,0.0,3.0,12.0,3.0,15.0,18.0,3.0,12.0,3.0,15.0,14.0,0.0,1.0,1.0,0.0,3.0,0.0,49.0,7.0,0.0,12.0,0.0,18.0,6.0,0.0,19.0,50.0,0.0,100.0,2.0,0.0,24.0,96.0,62.5,96.0,-33.5
116650104,8117,810,2,14.0,4.0,14.0,4.0,1.0,0.0,0.0,0.0,0.0,15.0,69.0,10.0,1.0,1.0,0.0,1.0,15.0,20.0,1.0,100.0,5.0,13.0,1.0,12.0,18.0,4.0,13.0,1.0,14.0,11.0,1.0,2.0,2.0,0.0,2.0,25.0,63.0,1.0,1.0,11.0,4.0,15.0,7.0,1.0,14.0,51.0,0.0,50.0,3.0,1.0,25.0,100.0,56.00000000000001,82.6086956521739,-26.6086956521739
116650104,8117,810,3,10.0,4.0,10.0,4.0,1.0,1.0,0.0,0.0,1.0,10.0,47.0,14.0,0.0,0.0,0.0,0.0,12.0,20.0,0.0,0.0,8.0,9.0,1.0,8.0,14.0,4.0,9.0,1.0,10.0,8.0,0.0,2.0,4.0,0.0,2.0,0.0,-12.5,2.0,0.0,16.0,2.0,11.0,10.0,0.0,10.0,48.0,0.0,67.0,3.0,0.0,26.0,104.0,38.46153846153847,85.18518518518519,-46.72364672364672
116650104,8117,810,4,14.0,6.0,14.0,6.0,0.0,0.0,1.0,0.0,0.0,11.0,64.0,12.0,1.0,1.0,-1.0,0.0,16.0,21.0,2.0,100.0,4.0,13.0,3.0,12.0,20.0,4.0,13.0,3.0,16.0,9.0,2.0,5.0,0.0,0.0,1.0,25.0,68.0,1.0,1.0,13.0,1.0,19.0,5.0,2.0,11.0,57.0,0.0,83.0,3.0,1.0,26.0,104.0,61.53846153846154,48.0,13.53846153846154
