matchId,squadId,oppSquadId,playerId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionWithGain,deflectionWithNoGain,disposals,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goalAssists,goalAttempts,goalMisses,goals,interceptPassThrown,intercepts,minutesPlayed,missedGoalTurnover,obstructionPenalties,offsides,passes,penalties,pickups,possessionChanges,possessions,quartersPlayed,rebounds,tossUpWin
107340103,811,813,80052,1,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,10,0,10,0,0,15,0,1,0,0,1,0,2,11,1,1,0
107340103,811,813,80052,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,1,8,0,0,15,0,1,0,0,1,0,0,10,1,1,0
107340103,811,813,80052,3,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,5,0,5,1,0,15,0,1,0,0,2,0,1,5,1,0,0
107340103,811,813,80052,4,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,2,1,8,0,8,2,0,15,0,0,0,1,0,0,2,9,1,0,0
107340103,811,813,80343,1,0,0,0,0,0,0,0,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,3,1,0,4,1,1,0
107340103,811,813,80343,2,0,0,0,0,0,0,0,6,0,1,0,0,0,2,0,0,0,0,0,0,0,2,15,0,0,0,0,6,0,0,2,1,0,0
107340103,811,813,80343,3,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,1,15,0,2,0,0,4,0,0,1,1,0,0
107340103,811,813,80343,4,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,3,0,0,8,0,0,1,1,0,0
107340103,811,813,80470,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107340103,811,813,80470,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107340103,811,813,80470,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
