matchId,squadId,oppSquadId,period,attempt_from_zone1,attempt_from_zone2,attempts1,attempts2,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,deflections,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goal1,goal2,goalAssists,goalAttempts,goalMisses,goal_from_zone1,goal_from_zone2,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,missedGoalTurnover,missedShotConversion,netPoints,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,rebounds,secondPhaseReceive,timeInPossession,tossUpWin,turnoverHeld,turnoverToGoalPerc,unforcedTurnovers,offensiveRebounds,possessions,pacePer60,offensiveRating,defensiveRating,netRating
116650902,804,8118,1,13.0,0.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,83.0,18.0,1.0,1.0,1.0,2.0,13.0,20.0,5.0,20.0,6.0,13.0,0.0,13.0,13.0,0.0,13.0,0.0,13.0,10.0,1.0,2.0,1.0,1.0,0.0,0.0,80.0,9.0,0.0,27.0,5.0,13.0,6.0,3.0,7.0,50.0,0.0,0.0,67.0,4.0,0.0,19.0,76.0,68.42105263157895,47.61904761904761,20.802005012531332
116650902,804,8118,2,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,80.0,14.0,3.0,3.0,2.0,5.0,17.0,25.0,5.0,60.0,4.0,18.0,0.0,17.0,18.0,0.0,18.0,0.0,18.0,12.0,3.0,3.0,1.0,1.0,0.0,0.0,149.5,5.0,0.0,19.0,6.0,18.0,4.0,1.0,10.0,53.0,0.0,1.0,100.0,3.0,0.0,22.0,88.0,81.81818181818183,52.38095238095239,29.43722943722944
116650902,804,8118,3,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,67.0,9.0,1.0,1.0,1.0,2.0,17.0,23.0,3.0,100.0,6.0,16.0,0.0,14.0,19.0,3.0,16.0,0.0,16.0,10.0,3.0,3.0,3.0,2.0,1.0,67.0,89.0,9.0,1.0,18.0,4.0,16.0,7.0,2.0,12.0,49.0,0.0,1.0,75.0,1.0,2.0,24.0,96.0,66.66666666666666,60.86956521739131,5.797101449275345
116650902,804,8118,4,12.0,2.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,79.0,14.0,0.0,0.0,6.0,6.0,10.0,15.0,1.0,100.0,3.0,11.0,1.0,8.0,14.0,2.0,11.0,1.0,12.0,11.0,1.0,0.0,1.0,0.0,2.0,0.0,70.5,8.0,0.0,22.0,4.0,13.0,5.0,1.0,11.0,46.0,0.0,0.0,0.0,3.0,0.0,19.0,76.0,63.1578947368421,77.77777777777779,-14.619883040935683
116650902,804,8118,5,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,80.0,1.0,1.0,1.0,1.0,2.0,6.0,8.0,2.0,100.0,1.0,6.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,68.5,2.0,0.0,3.0,3.0,6.0,1.0,0.0,4.0,66.0,0.0,1.0,0.0,1.0,0.0,7.0,84.0,85.71428571428571,33.33333333333333,52.38095238095238
116650902,8118,804,1,12.0,2.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,42.0,11.0,1.0,1.0,6.0,7.0,13.0,19.0,2.0,100.0,5.0,10.0,0.0,9.0,14.0,4.0,10.0,0.0,10.0,5.0,2.0,3.0,1.0,1.0,3.0,25.0,65.0,3.0,0.0,14.0,3.0,10.0,8.0,1.0,11.0,50.0,0.0,2.0,75.0,3.0,1.0,21.0,84.0,47.61904761904761,68.42105263157895,-20.802005012531332
116650902,8118,804,2,9.0,4.0,9.0,4.0,2.0,1.0,0.0,0.0,0.0,14.0,47.0,18.0,0.0,0.0,5.0,5.0,13.0,17.0,1.0,100.0,6.0,8.0,3.0,11.0,13.0,2.0,8.0,3.0,11.0,7.0,1.0,3.0,1.0,1.0,2.0,0.0,43.0,5.0,0.0,23.0,2.0,14.0,8.0,0.0,14.0,47.0,0.0,0.0,100.0,3.0,0.0,21.0,84.0,52.38095238095239,81.81818181818183,-29.43722943722944
116650902,8118,804,3,10.0,5.0,10.0,5.0,2.0,1.0,0.0,0.0,0.0,13.0,60.0,11.0,2.0,2.0,1.0,3.0,15.0,20.0,6.0,67.0,7.0,9.0,5.0,14.0,15.0,1.0,9.0,5.0,14.0,9.0,4.0,1.0,2.0,3.0,0.0,0.0,95.0,4.0,0.0,15.0,2.0,19.0,7.0,1.0,11.0,51.0,0.0,1.0,100.0,4.0,0.0,23.0,92.0,60.86956521739131,66.66666666666666,-5.797101449275345
116650902,8118,804,4,12.0,3.0,12.0,3.0,0.0,1.0,0.0,0.0,0.0,12.0,85.0,13.0,0.0,0.0,5.0,5.0,15.0,20.0,2.0,100.0,2.0,11.0,3.0,14.0,15.0,1.0,11.0,3.0,14.0,11.0,2.0,1.0,0.0,1.0,1.0,0.0,99.5,7.0,1.0,20.0,0.0,17.0,3.0,1.0,12.0,54.0,0.0,0.0,33.0,2.0,0.0,18.0,72.0,77.77777777777779,63.1578947368421,14.619883040935683
116650902,8118,804,5,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,6.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,0.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,8.0,0.0,3.0,3.0,0.0,2.0,34.0,0.0,0.0,100.0,0.0,0.0,6.0,72.0,33.33333333333333,85.71428571428571,-52.38095238095238
