squadId,attempt1,attempt2,attempt_from_zone1,attempt_from_zone2,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,deflections,disposals,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goal1,goal2,goalAssists,goalAttempts,goalMisses,goal_from_zone1,goal_from_zone2,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,missedGoalTurnover,missedShotConversion,netPoints,obstructionPenalties,offsides,passes,penalties,pickups,points,possessionChanges,possessions,rebounds,timeInPossession,tossUpWin,turnoverToGoalPerc,offensiveRebounds,pacePer60,offensiveRating,defensiveRating,netRating,roundNo,gameNo
Thunderbirds,50.357142857142854,10.071428571428571,50.357142857142854,10.071428571428571,2.642857142857143,4.642857142857143,0.42857142857142855,1.3571428571428572,0.7142857142857143,47.642857142857146,65.14285714285714,33.785714285714285,4.428571428571429,4.428571428571429,14.428571428571429,19.428571428571427,152.57142857142858,53.785714285714285,79.07142857142857,14.142857142857142,58.92857142857143,25.642857142857142,44.5,5.214285714285714,43.714285714285715,60.42857142857143,10.714285714285714,44.5,5.214285714285714,49.714285714285715,34.214285714285715,8.428571428571429,7.071428571428571,7.642857142857143,5.857142857142857,0.0,22.714285714285715,314.64285714285717,14.142857142857142,2.357142857142857,79.07142857142857,48.142857142857146,13.071428571428571,54.92857142857143,28.785714285714285,91.64285714285714,7.285714285714286,47.714285714285715,0.0,25.285714285714285,2.5714285714285716,91.54699272588118,54.31379685655183,55.35728822653432,-1.0434913699824933,7.5,3.2142857142857144
Vixens,55.642857142857146,9.714285714285714,55.642857142857146,9.714285714285714,2.357142857142857,3.642857142857143,0.6428571428571429,0.42857142857142855,0.6428571428571429,50.5,71.28571428571429,39.07142857142857,4.642857142857143,4.642857142857143,11.571428571428571,16.928571428571427,161.21428571428572,60.714285714285715,82.71428571428571,13.0,74.07142857142857,19.714285714285715,50.57142857142857,5.785714285714286,51.92857142857143,65.35714285714286,9.0,50.57142857142857,5.785714285714286,56.357142857142854,38.857142857142854,9.5,8.0,4.5,6.285714285714286,0.0,16.571428571428573,364.07142857142856,12.785714285714286,1.5,82.71428571428571,51.92857142857143,13.428571428571429,62.142857142857146,22.5,90.92857142857143,4.0,52.285714285714285,0.0,32.285714285714285,1.5714285714285714,90.70071125578325,62.08104051918912,57.236970788270234,4.844069730918888,7.5,2.5714285714285716
Swifts,57.42857142857143,12.071428571428571,57.42857142857143,12.071428571428571,2.2142857142857144,4.0,0.21428571428571427,0.0,0.42857142857142855,55.857142857142854,68.78571428571429,38.857142857142854,4.0,4.0,13.5,19.071428571428573,175.07142857142858,62.785714285714285,91.85714285714286,11.928571428571429,62.857142857142854,22.071428571428573,51.285714285714285,6.428571428571429,51.5,69.5,11.785714285714286,51.285714285714285,6.428571428571429,57.714285714285715,40.42857142857143,7.571428571428571,9.714285714285714,6.428571428571429,6.0,0.0,30.0,372.39285714285717,13.142857142857142,1.6428571428571428,91.85714285714286,52.214285714285715,12.857142857142858,64.14285714285714,24.571428571428573,96.5,5.928571428571429,50.642857142857146,0.0,39.285714285714285,3.4285714285714284,96.40434830666058,60.08630251692363,61.630347530245125,-1.5440450133214978,7.5,2.2142857142857144
Firebirds,61.214285714285715,9.214285714285714,61.214285714285715,9.214285714285714,3.357142857142857,3.142857142857143,0.35714285714285715,0.21428571428571427,1.8571428571428572,54.42857142857143,67.71428571428571,43.5,4.214285714285714,4.214285714285714,12.5,17.0,179.85714285714286,60.714285714285715,96.57142857142857,12.857142857142858,69.92857142857143,22.571428571428573,51.785714285714285,4.5,48.0,70.42857142857143,14.142857142857142,51.785714285714285,4.5,56.285714285714285,39.357142857142854,9.071428571428571,7.857142857142857,6.285714285714286,5.785714285714286,0.0,48.142857142857146,361.14285714285717,8.928571428571429,1.2857142857142858,96.57142857142857,52.642857142857146,12.857142857142858,60.785714285714285,24.357142857142858,93.71428571428571,11.285714285714286,50.5,0.0,33.214285714285715,6.714285714285714,93.43866397606772,60.1540183273517,61.27873058975849,-1.1247122624068002,7.5,2.4285714285714284
Fever,66.78571428571429,8.5,66.78571428571429,8.5,2.7857142857142856,3.142857142857143,0.14285714285714285,0.35714285714285715,0.8571428571428571,56.785714285714285,73.92857142857143,34.714285714285715,4.142857142857143,4.142857142857143,11.071428571428571,15.714285714285714,177.42857142857142,68.21428571428571,91.21428571428571,15.0,64.5,22.142857142857142,61.142857142857146,3.857142857142857,58.714285714285715,75.28571428571429,10.285714285714286,61.142857142857146,3.857142857142857,65.0,45.785714285714285,9.714285714285714,9.5,6.928571428571429,6.857142857142857,0.0,45.07142857142857,394.7142857142857,11.214285714285714,0.9285714285714286,91.21428571428571,46.285714285714285,11.428571428571429,68.85714285714286,24.857142857142858,99.0,8.857142857142858,51.785714285714285,0.0,33.714285714285715,4.357142857142857,98.80530477534346,65.74319138892272,56.07275905481867,9.670432334104062,7.5,2.0714285714285716
Lightning,60.214285714285715,6.5,60.214285714285715,6.5,2.7142857142857144,3.142857142857143,0.2857142857142857,0.42857142857142855,1.3571428571428572,51.42857142857143,69.57142857142857,30.285714285714285,3.5,3.5,12.5,16.785714285714285,162.14285714285714,58.92857142857143,82.78571428571429,14.0,55.57142857142857,21.571428571428573,51.642857142857146,3.5,48.642857142857146,66.71428571428571,11.571428571428571,51.642857142857146,3.5,55.142857142857146,38.92857142857143,7.857142857142857,8.357142857142858,6.0,7.642857142857143,0.0,26.142857142857142,344.92857142857144,7.642857142857143,1.0,82.78571428571429,38.142857142857146,10.285714285714286,58.642857142857146,25.5,93.57142857142857,6.642857142857143,52.57142857142857,0.0,31.5,3.142857142857143,93.47052595711538,58.92411743460849,56.114759195183716,2.809358239424771,7.5,3.0
GIANTS,54.57142857142857,15.071428571428571,54.57142857142857,15.071428571428571,3.0714285714285716,3.0714285714285716,0.6428571428571429,0.2857142857142857,0.9285714285714286,53.0,66.57142857142857,39.357142857142854,3.4285714285714284,3.4285714285714284,15.214285714285714,19.357142857142858,162.57142857142858,60.92857142857143,78.0,13.714285714285714,60.57142857142857,22.642857142857142,45.785714285714285,8.714285714285714,47.357142857142854,69.64285714285714,15.142857142857142,45.785714285714285,8.714285714285714,54.5,38.785714285714285,8.5,7.214285714285714,6.785714285714286,7.571428571428571,0.0,18.714285714285715,335.4642857142857,11.214285714285714,2.0,78.0,50.642857142857146,12.0,63.214285714285715,27.642857142857142,102.0,6.571428571428571,48.642857142857146,0.0,27.928571428571427,2.7142857142857144,101.92476359056629,53.74775006087554,61.761814648515774,-8.014064587640235,7.5,2.357142857142857
Magpies,51.5,9.428571428571429,51.5,9.428571428571429,5.642857142857143,4.357142857142857,0.5,0.21428571428571427,1.2857142857142858,50.857142857142854,60.785714285714285,43.57142857142857,3.7857142857142856,3.7857142857142856,15.785714285714286,19.857142857142858,148.0,53.785714285714285,74.21428571428571,14.071428571428571,55.0,27.714285714285715,44.42857142857143,5.285714285714286,43.642857142857146,60.92857142857143,11.214285714285714,44.42857142857143,5.285714285714286,49.714285714285715,33.57142857142857,7.571428571428571,8.571428571428571,8.142857142857142,7.071428571428571,0.0,28.857142857142858,271.14285714285717,10.642857142857142,1.5,74.21428571428571,54.285714285714285,10.928571428571429,55.0,31.357142857142858,93.28571428571429,6.928571428571429,45.857142857142854,0.0,31.428571428571427,3.2857142857142856,93.126630508815,53.358815488853985,58.95636255995068,-5.597547071096696,7.5,2.142857142857143
