squadId,attempt1,attempt2,attempt_from_zone1,attempt_from_zone2,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,deflections,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goal1,goal2,goalAssists,goalAttempts,goalMisses,goal_from_zone1,goal_from_zone2,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,missedGoalTurnover,missedShotConversion,netPoints,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,rebounds,timeInPossession,tossUpWin,turnoverToGoalPerc,unforcedTurnovers,offensiveRebounds,possessions,pacePer60,offensiveRating,defensiveRating,netRating,roundNo,gameNo
Thunderbirds,52.357142857142854,7.071428571428571,52.357142857142854,7.071428571428571,3.357142857142857,4.714285714285714,0.35714285714285715,0.7857142857142857,0.5714285714285714,47.57142857142857,66.42857142857143,48.857142857142854,3.0714285714285716,3.0714285714285716,13.142857142857142,16.214285714285715,53.214285714285715,79.14285714285714,14.214285714285714,49.5,26.357142857142858,47.42857142857143,3.5714285714285716,45.57142857142857,59.42857142857143,8.428571428571429,47.42857142857143,3.5714285714285716,51.0,36.0,7.0,8.0,7.357142857142857,8.642857142857142,3.642857142857143,25.928571428571427,275.5,11.142857142857142,4.0,60.42857142857143,11.285714285714286,54.57142857142857,30.0,5.071428571428571,48.642857142857146,0.0,61.0,16.642857142857142,1.8571428571428572,90.5,90.4980164240092,56.756713065877754,59.68422172723913,-2.9275086613613768,7.5,2.642857142857143
Vixens,47.57142857142857,9.928571428571429,47.57142857142857,9.928571428571429,3.7142857142857144,2.857142857142857,0.5,0.35714285714285715,0.42857142857142855,48.07142857142857,61.214285714285715,47.357142857142854,3.857142857142857,3.857142857142857,13.214285714285714,17.071428571428573,50.57142857142857,75.14285714285714,12.571428571428571,58.142857142857146,25.214285714285715,41.42857142857143,4.928571428571429,40.5,57.5,11.142857142857142,41.42857142857143,4.928571428571429,46.357142857142854,32.5,7.357142857142857,6.5,6.928571428571429,5.857142857142857,5.214285714285714,28.571428571428573,225.57142857142858,13.642857142857142,1.5,61.07142857142857,10.285714285714286,51.285714285714285,30.428571428571427,6.214285714285714,48.357142857142854,0.0,54.57142857142857,14.857142857142858,3.0714285714285716,87.71428571428571,87.68336357432123,53.094718042611575,63.047127807821184,-9.952409765209618,7.785714285714286,2.2857142857142856
Swifts,59.214285714285715,5.214285714285714,59.214285714285715,5.214285714285714,2.2857142857142856,2.5,0.14285714285714285,0.0,1.0714285714285714,52.714285714285715,73.28571428571429,37.214285714285715,2.857142857142857,2.857142857142857,10.714285714285714,13.571428571428571,59.714285714285715,86.92857142857143,11.428571428571429,63.42857142857143,20.642857142857142,55.07142857142857,2.9285714285714284,53.714285714285715,64.42857142857143,6.428571428571429,55.07142857142857,2.9285714285714284,58.0,41.785714285714285,7.214285714285714,9.0,7.571428571428571,6.071428571428571,2.7142857142857144,29.0,312.67857142857144,11.428571428571429,1.0,48.642857142857146,10.071428571428571,60.92857142857143,23.357142857142858,4.5,52.42857142857143,0.0,63.0,10.785714285714286,2.0,87.5,86.95531277116037,66.47879042770293,61.17680289258499,5.301987535117951,7.571428571428571,2.142857142857143
Firebirds,62.214285714285715,9.5,62.214285714285715,9.5,3.642857142857143,3.7857142857142856,0.21428571428571427,0.07142857142857142,1.9285714285714286,55.142857142857146,70.35714285714286,52.214285714285715,3.2857142857142856,3.2857142857142856,13.142857142857142,16.428571428571427,61.714285714285715,96.5,10.928571428571429,65.71428571428571,23.0,54.57142857142857,4.142857142857143,50.285714285714285,71.71428571428571,13.0,54.57142857142857,4.142857142857143,58.714285714285715,42.142857142857146,7.0,9.571428571428571,5.214285714285714,6.214285714285714,3.2857142857142856,49.0,317.10714285714283,16.285714285714285,1.6428571428571428,69.0,11.357142857142858,62.857142857142854,26.285714285714285,8.5,48.92857142857143,0.0,61.57142857142857,15.5,6.0,95.71428571428571,95.19057980289263,61.551333736949985,62.48710336070302,-0.9357696237530346,7.5,2.5714285714285716
Fever,66.85714285714286,6.714285714285714,66.85714285714286,6.714285714285714,3.2142857142857144,3.4285714285714284,0.14285714285714285,0.14285714285714285,1.1428571428571428,54.92857142857143,76.85714285714286,39.142857142857146,4.0,4.0,12.142857142857142,16.142857142857142,67.07142857142857,89.64285714285714,13.785714285714286,72.64285714285714,19.571428571428573,62.285714285714285,3.7142857142857144,60.357142857142854,73.57142857142857,7.571428571428571,62.285714285714285,3.7142857142857144,66.0,47.357142857142854,9.785714285714286,8.857142857142858,4.571428571428571,7.0,1.6428571428571428,50.0,397.0,11.142857142857142,1.0,50.285714285714285,9.571428571428571,69.71428571428571,21.214285714285715,6.714285714285714,50.357142857142854,0.0,63.92857142857143,13.428571428571429,3.7857142857142856,93.14285714285714,93.12956335518611,70.91421945533347,60.16647629774018,10.74774315759329,7.785714285714286,2.357142857142857
Lightning,62.0,4.214285714285714,62.0,4.214285714285714,2.357142857142857,2.2142857142857144,0.2857142857142857,0.2857142857142857,1.6428571428571428,52.92857142857143,70.07142857142857,43.285714285714285,2.7857142857142856,2.7857142857142856,9.142857142857142,11.928571428571429,58.5,79.57142857142857,12.285714285714286,64.42857142857143,20.857142857142858,54.92857142857143,2.0,49.92857142857143,66.21428571428571,9.285714285714286,54.92857142857143,2.0,56.92857142857143,40.714285714285715,8.0,8.214285714285714,6.5,7.357142857142857,3.642857142857143,32.0,302.5357142857143,9.071428571428571,1.5,52.642857142857146,9.5,58.92857142857143,24.5,5.642857142857143,52.285714285714285,0.0,65.71428571428571,12.285714285714286,3.0714285714285716,90.21428571428571,89.1737536723713,63.165075305236954,64.41322653855389,-1.2481512333169318,7.5,2.857142857142857
GIANTS,55.785714285714285,12.642857142857142,55.785714285714285,12.642857142857142,3.0,3.2857142857142856,0.21428571428571427,0.5,0.7142857142857143,50.357142857142854,67.57142857142857,45.357142857142854,3.7857142857142856,3.7857142857142856,15.285714285714286,19.071428571428573,61.5,83.07142857142857,13.928571428571429,61.285714285714285,20.5,47.642857142857146,6.642857142857143,48.0,68.42857142857143,14.142857142857142,47.642857142857146,6.642857142857143,54.285714285714285,37.642857142857146,8.5,8.142857142857142,7.0,7.214285714285714,6.857142857142857,22.857142857142858,316.39285714285717,9.428571428571429,0.8571428571428571,54.785714285714285,10.0,60.92857142857143,27.357142857142858,7.0,51.714285714285715,0.0,60.57142857142857,12.214285714285714,3.2142857142857144,96.64285714285714,96.1664220256278,56.27538029942895,58.5307642616927,-2.255383962263753,7.5,3.0
Magpies,58.07142857142857,6.214285714285714,58.07142857142857,6.214285714285714,3.0,3.0,0.35714285714285715,0.14285714285714285,0.5714285714285714,53.92857142857143,67.21428571428571,48.07142857142857,4.571428571428571,4.571428571428571,14.571428571428571,19.142857142857142,58.5,74.71428571428571,13.571428571428571,60.214285714285715,25.357142857142858,53.07142857142857,3.0714285714285716,50.857142857142854,64.28571428571429,8.142857142857142,53.07142857142857,3.0714285714285716,56.142857142857146,39.57142857142857,8.285714285714286,8.285714285714286,8.714285714285714,6.071428571428571,3.5714285714285716,31.214285714285715,295.57142857142856,9.571428571428571,0.8571428571428571,57.642857142857146,10.285714285714286,59.214285714285715,28.928571428571427,5.857142857142857,47.357142857142854,0.0,58.714285714285715,13.214285714285714,2.642857142857143,92.5,91.9528552618006,60.60948102190938,59.33998846871591,1.2694925531934727,7.428571428571429,2.2857142857142856
