squadId,attempt1,attempt2,attempt_from_zone1,attempt_from_zone2,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,deflections,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goal1,goal2,goalAssists,goalAttempts,goalMisses,goal_from_zone1,goal_from_zone2,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,missedGoalTurnover,missedShotConversion,netPoints,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,rebounds,secondPhaseReceive,timeInPossession,tossUpWin,turnoverToGoalPerc,unforcedTurnovers,offensiveRebounds,possessions,pacePer60,offensiveRating,defensiveRating,netRating,turnoverHeld,roundNo,gameNo
Thunderbirds,50.69230769230769,6.923076923076923,50.69230769230769,6.923076923076923,4.0,2.769230769230769,0.15384615384615385,1.0,1.3846153846153846,44.76923076923077,61.38461538461539,46.53846153846154,3.1538461538461537,3.1538461538461537,14.307692307692308,17.46153846153846,53.23076923076923,84.07692307692308,17.53846153846154,62.84615384615385,23.46153846153846,45.15384615384615,3.076923076923077,44.53846153846154,57.61538461538461,9.384615384615385,45.15384615384615,3.076923076923077,48.23076923076923,30.53846153846154,10.76923076923077,6.923076923076923,6.615384615384615,9.538461538461538,5.769230769230769,16.615384615384617,313.5,15.307692307692308,2.3846153846153846,61.84615384615385,8.846153846153847,51.30769230769231,29.23076923076923,6.6923076923076925,39.15384615384615,48.23076923076923,0.0,59.15384615384615,15.23076923076923,1.4615384615384615,87.53846153846153,87.53846153846153,55.27794272743087,53.23299576956116,2.044946957869719,1.0909090909090908,7.0,3.1538461538461537
Vixens,62.30769230769231,6.923076923076923,62.30769230769231,6.923076923076923,2.076923076923077,2.3846153846153846,0.5384615384615384,0.07692307692307693,0.7692307692307693,51.69230769230769,72.3076923076923,47.15384615384615,3.6153846153846154,3.6153846153846154,9.615384615384615,13.23076923076923,63.46153846153846,87.6923076923077,13.153846153846153,72.0,18.846153846153847,55.92307692307692,3.1538461538461537,53.46153846153846,69.23076923076923,10.153846153846153,55.92307692307692,3.1538461538461537,59.07692307692308,42.0,9.615384615384615,7.461538461538462,5.153846153846154,5.923076923076923,3.3846153846153846,34.53846153846154,377.2307692307692,14.384615384615385,1.3846153846153846,61.61538461538461,12.076923076923077,62.23076923076923,22.23076923076923,7.615384615384615,45.46153846153846,50.76923076923077,0.0,65.23076923076923,11.76923076923077,3.3846153846153846,91.46153846153847,90.92307692307692,64.64332176042478,61.06494726579619,3.5783744946285903,1.8181818181818181,7.0,1.9230769230769231
Swifts,56.38461538461539,10.0,56.38461538461539,10.0,2.3846153846153846,2.5384615384615383,0.6153846153846154,0.07692307692307693,0.6153846153846154,50.23076923076923,67.0,46.92307692307692,3.3846153846153846,3.3846153846153846,12.76923076923077,16.153846153846153,60.0,85.53846153846153,12.076923076923077,59.84615384615385,19.76923076923077,47.61538461538461,5.153846153846154,47.30769230769231,66.38461538461539,13.615384615384615,47.61538461538461,5.153846153846154,52.76923076923077,37.46153846153846,7.384615384615385,7.923076923076923,6.769230769230769,6.615384615384615,6.615384615384615,24.153846153846153,323.65384615384613,10.923076923076923,2.076923076923077,58.0,11.0,57.92307692307692,26.384615384615383,5.538461538461538,45.30769230769231,50.30769230769231,0.0,58.69230769230769,11.538461538461538,3.1538461538461537,93.46153846153847,93.46153846153847,56.75827240682143,63.10387669323621,-6.345604286414785,0.45454545454545453,7.0,2.230769230769231
Firebirds,63.69230769230769,9.23076923076923,63.69230769230769,9.23076923076923,2.8461538461538463,1.8461538461538463,0.46153846153846156,0.15384615384615385,2.3076923076923075,58.53846153846154,72.46153846153847,50.61538461538461,2.923076923076923,2.923076923076923,11.23076923076923,14.153846153846153,66.61538461538461,87.46153846153847,10.76923076923077,58.84615384615385,20.923076923076923,58.23076923076923,4.384615384615385,56.61538461538461,72.92307692307692,10.307692307692308,58.23076923076923,4.384615384615385,62.61538461538461,46.46153846153846,6.538461538461538,9.615384615384615,6.846153846153846,5.0,3.6923076923076925,35.53846153846154,344.15384615384613,11.384615384615385,1.2307692307692308,62.0,8.23076923076923,67.0,24.615384615384617,7.153846153846154,52.92307692307692,49.61538461538461,0.0,67.76923076923077,12.307692307692308,3.6153846153846154,96.92307692307692,96.92307692307692,64.53705036768055,64.43660002941832,0.10045033826222258,0.8181818181818182,7.0,2.3076923076923075
Fever,67.6923076923077,8.076923076923077,67.6923076923077,8.076923076923077,2.6153846153846154,1.8461538461538463,0.0,0.3076923076923077,1.7692307692307692,55.92307692307692,78.0,46.0,2.4615384615384617,2.4615384615384617,11.923076923076923,14.384615384615385,70.46153846153847,92.07692307692308,12.461538461538462,70.6923076923077,17.923076923076923,63.92307692307692,4.3076923076923075,62.46153846153846,75.76923076923077,7.538461538461538,63.92307692307692,4.3076923076923075,68.23076923076923,51.0,8.692307692307692,8.538461538461538,5.461538461538462,5.6923076923076925,1.6153846153846154,56.61538461538461,412.15384615384613,12.846153846153847,1.1538461538461537,59.0,6.923076923076923,72.53846153846153,19.53846153846154,8.384615384615385,48.84615384615385,49.23076923076923,0.0,74.23076923076923,11.153846153846153,4.076923076923077,93.07692307692308,93.07692307692308,73.31025231791146,61.40471425408644,11.905538063825027,0.9090909090909091,7.0,2.6153846153846154
Lightning,56.61538461538461,11.76923076923077,56.61538461538461,11.76923076923077,2.923076923076923,2.3076923076923075,0.38461538461538464,0.6153846153846154,2.4615384615384617,54.69230769230769,68.0,40.0,1.9230769230769231,1.9230769230769231,8.538461538461538,10.461538461538462,60.61538461538461,86.76923076923077,10.461538461538462,59.30769230769231,19.692307692307693,49.38461538461539,6.076923076923077,48.69230769230769,68.38461538461539,12.923076923076923,49.38461538461539,6.076923076923077,55.46153846153846,41.07692307692308,6.076923076923077,8.307692307692308,7.230769230769231,5.230769230769231,6.769230769230769,29.46153846153846,288.88461538461536,13.384615384615385,1.0,53.46153846153846,8.461538461538462,61.53846153846154,26.46153846153846,6.769230769230769,49.61538461538461,51.23076923076923,0.0,67.46153846153847,11.0,3.6923076923076925,93.61538461538461,93.61538461538461,59.43843810703132,65.92707412072338,-6.488636013692058,0.6363636363636364,7.0,2.3076923076923075
GIANTS,52.92307692307692,13.692307692307692,52.92307692307692,13.692307692307692,2.3846153846153846,3.3076923076923075,0.3076923076923077,0.0,0.9230769230769231,53.07692307692308,68.38461538461539,45.07692307692308,2.923076923076923,2.923076923076923,10.76923076923077,13.692307692307692,61.0,86.38461538461539,11.846153846153847,62.61538461538461,19.307692307692307,48.23076923076923,7.6923076923076925,51.0,66.61538461538461,10.692307692307692,48.23076923076923,7.6923076923076925,55.92307692307692,40.84615384615385,7.3076923076923075,7.769230769230769,4.923076923076923,6.153846153846154,6.461538461538462,13.923076923076923,321.7692307692308,10.153846153846153,1.0,55.23076923076923,7.769230769230769,63.61538461538461,25.76923076923077,4.846153846153846,46.92307692307692,52.53846153846154,0.0,64.53846153846153,12.076923076923077,1.4615384615384615,93.6923076923077,93.16568047337279,59.47144392595578,65.66525121545943,-6.193807289503656,1.0909090909090908,7.0,2.6923076923076925
Magpies,63.84615384615385,6.0,63.84615384615385,6.0,3.6153846153846154,2.4615384615384617,0.3076923076923077,0.38461538461538464,1.2307692307692308,56.30769230769231,70.84615384615384,55.61538461538461,3.6923076923076925,3.6923076923076925,10.615384615384615,14.307692307692308,64.3076923076923,84.46153846153847,12.615384615384615,67.46153846153847,19.923076923076923,57.23076923076923,3.1538461538461537,54.92307692307692,69.84615384615384,9.461538461538462,57.23076923076923,3.1538461538461537,60.38461538461539,43.61538461538461,8.307692307692308,8.461538461538462,6.461538461538462,5.615384615384615,3.4615384615384617,37.15384615384615,361.61538461538464,11.538461538461538,1.1538461538461537,67.15384615384616,10.615384615384615,63.53846153846154,23.384615384615383,6.6923076923076925,50.53846153846154,48.07692307692308,0.0,74.46153846153847,12.461538461538462,3.0,93.23076923076923,93.23076923076923,65.00953214155635,63.610794406531404,1.3987377350249406,0.6363636363636364,7.0,2.769230769230769
