matchId,squadId,playerId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,disposals,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,minutesPlayed,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,passes,penalties,pickups,possessions,quartersPlayed,rebounds,tossUpWin,turnovers
98181002,801,999823,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,801,999823,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,801,999823,3,0,0,0,0,0,0,0,0,0,5,0,0,0,5,1,4,0,6,0,0,0,0,0,0,0,5,1,0,0,0
98181002,801,999823,4,1,0,0,0,0,0,0,0,0,14,0,0,0,14,2,12,0,15,0,0,1,0,0,0,0,15,1,1,0,1
98181002,801,1004484,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,801,1004484,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,801,1004484,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,801,1004484,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,801,1004493,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,801,1004493,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,801,1004493,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,801,1004493,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,810,80003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,810,80003,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,810,80003,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,810,80003,4,0,0,0,0,0,5,0,0,0,6,6,0,2,0,0,0,0,15,0,0,0,0,6,0,0,5,1,0,0,1
98181002,810,80009,1,0,2,0,0,0,6,0,0,1,9,4,0,3,4,1,3,0,15,0,1,0,0,4,1,1,12,1,0,0,3
98181002,810,80009,2,0,0,0,0,0,7,1,0,0,11,6,0,3,5,1,4,0,15,0,1,1,0,6,2,0,13,1,1,0,0
98181002,810,80009,3,0,0,0,0,0,3,1,0,0,9,5,0,4,4,1,3,0,15,0,0,0,0,5,1,0,7,1,0,0,1
98181002,810,80009,4,0,0,0,0,0,3,0,0,0,12,7,1,2,5,2,3,1,15,0,0,0,0,7,0,1,10,1,0,0,2
98181002,810,80113,1,0,0,0,0,0,0,1,0,0,14,0,0,0,14,2,12,0,15,0,0,2,0,0,1,0,16,1,2,0,1
98181002,810,80113,2,1,0,0,0,0,0,1,0,0,13,0,0,0,13,1,12,0,15,0,0,0,0,0,1,1,14,1,0,0,2
98181002,810,80113,3,0,0,0,0,0,0,0,0,0,15,1,0,0,14,0,14,0,15,0,0,0,0,1,0,0,14,1,0,0,0
98181002,810,80113,4,1,0,0,0,0,0,0,0,0,14,1,0,0,13,1,12,0,15,0,0,1,0,1,0,0,14,1,1,0,1
98181002,810,80133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,810,80133,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,1,0,0,0
98181002,810,80133,3,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,15,0,1,0,0,0,2,1,4,1,1,0,0
98181002,810,80133,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,810,80152,1,0,0,0,0,0,0,1,0,1,22,12,1,4,0,0,0,1,15,0,2,0,0,22,3,0,11,1,0,0,0
98181002,810,80152,2,0,1,0,0,0,0,2,0,2,23,7,1,4,0,0,0,1,15,0,0,0,0,23,2,0,17,1,0,0,1
98181002,810,80152,3,0,0,0,0,0,0,6,0,0,23,7,0,3,0,0,0,0,15,0,0,0,0,22,6,0,16,1,0,0,0
98181002,810,80152,4,1,1,0,0,0,0,4,0,1,20,6,0,2,0,0,0,0,15,0,0,0,0,20,4,1,15,1,0,0,2
98181002,810,80299,1,0,0,0,0,0,2,3,0,0,0,0,2,0,0,0,0,2,15,0,1,0,0,0,4,1,5,1,0,0,0
98181002,810,80299,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,2,0,2,1,0,0,1
98181002,810,80299,3,0,0,0,0,0,6,3,0,2,3,2,0,2,0,0,0,0,15,0,0,0,0,2,3,0,7,1,0,0,1
98181002,810,80299,4,0,0,0,0,0,2,3,0,2,1,1,2,1,0,0,0,2,15,0,0,0,0,1,3,0,4,1,0,0,0
98181002,810,80343,1,0,0,0,0,0,0,3,2,0,1,0,4,0,0,0,0,2,15,0,1,0,0,0,4,1,6,1,2,0,1
98181002,810,80343,2,0,1,0,0,0,0,2,1,0,0,0,3,0,0,0,0,2,12,0,2,0,0,0,4,0,3,1,1,0,1
98181002,810,80343,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,810,80343,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,810,80393,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,810,80393,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,810,80393,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,810,80393,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,15,0,1,0,0,0,2,1,2,1,0,0,0
98181002,810,80470,1,0,0,0,0,0,0,2,2,2,0,0,2,0,0,0,0,0,15,0,0,0,0,0,2,0,2,1,2,0,0
98181002,810,80470,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,1,0,0,0
98181002,810,80470,3,0,0,0,1,0,3,2,1,3,0,0,2,0,0,0,0,1,15,0,0,0,0,0,2,0,5,1,1,0,0
98181002,810,80470,4,0,0,0,0,0,4,2,0,0,1,1,0,0,0,0,0,0,15,0,0,0,0,1,2,0,4,1,0,0,0
98181002,810,80473,1,0,1,0,0,0,2,2,0,0,4,3,0,1,0,0,0,0,15,0,1,0,1,3,3,0,3,1,0,0,3
98181002,810,80473,2,0,0,0,0,0,7,1,0,0,9,9,0,3,0,0,0,0,15,0,0,0,0,9,1,0,7,1,0,0,0
98181002,810,80473,3,0,1,0,0,0,3,1,0,0,7,7,0,3,0,0,0,0,15,0,0,0,0,7,1,0,3,1,0,0,1
98181002,810,80473,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,810,993360,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,810,993360,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,810,993360,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,810,993360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,810,995218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,810,995218,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,810,995218,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98181002,810,995218,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
