matchId,squadId,oppSquadId,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goalAssists,goalAttempts,goalMisses,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,missedGoalTurnover,missedShotConversion,netPoints,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,rebounds,secondPhaseReceive,timeInPossession,tossUpWin,turnoverHeld,turnoverToGoalPerc,unforcedTurnovers,offensiveRebounds,possessions,pacePer60,offensiveRating,defensiveRating,netRating
119460103,811,813,1,0,0,0,1,49,80,40,2,2,9,63,98,10,50,16,52,73,11,62,43,5,14,6,7,4,45,384,19,3,59,6,62,20,6,46,57,0,0,82,8,5.0,88.0,88.0,70.45454545454545,62.66666666666667,7.787878787878782
119460103,813,811,3,3,0,0,1,48,67,49,2,2,13,41,49,12,58,26,40,49,2,47,37,7,3,7,6,1,50,246,22,2,71,6,47,27,5,43,43,0,2,38,17,1.0,75.0,75.0,62.66666666666667,70.45454545454545,-7.787878787878782
