matchId,squadId,playerId,period,attempt_from_zone1,attempt_from_zone2,attempts1,attempts2,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionWithGain,deflectionWithNoGain,deflections,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goal1,goal2,goalAssists,goalAttempts,goalMisses,goal_from_zone1,goal_from_zone2,goals,interceptPassThrown,intercepts,minutesPlayed,missedGoalTurnover,netPoints,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,quartersPlayed,rebounds,secondPhaseReceive,tossUpWin,turnoverHeld,unforcedTurnovers
116650602,801,1007306,1,4.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,4.0,0.0,3.0,7.0,3.0,4.0,0.0,4.0,1.0,0.0,15.0,1.0,-4.0,1.0,0.0,3.0,0.0,4.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0
116650602,801,1007306,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,-3.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0
116650602,801,1007306,3,6.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,5.0,1.0,1.0,7.0,1.0,5.0,1.0,6.0,0.0,0.0,10.0,0.0,12.0,0.0,0.0,0.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
116650602,801,1007306,4,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,5.0,0.0,2.0,6.0,1.0,5.0,0.0,5.0,0.0,0.0,12.0,1.0,7.5,1.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
116650602,801,1015271,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
116650602,801,1015271,2,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,1.0,3.0,0.0,3.0,0.0,0.0,15.0,1.0,14.5,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
116650602,801,1015271,3,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,1.0,3.0,0.0,3.0,0.0,0.0,15.0,1.0,10.5,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
116650602,801,1015271,4,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,6.0,1.0,4.0,1.0,5.0,0.0,0.0,15.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
116650602,801,1016033,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116650602,801,1016033,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,8.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
